name,backend,cells,bonds,blocks,colors,dt_s,steps,lattice_sim_s,lattice_wall_s,us_per_step,bond_updates_per_s,launches,broken,failure_rounds,pieces,largest_piece_kg,removed_j,rigid_sim_s,rigid_wall_s,rest,sim_total_s,wall_total_s,ratio,rule_met
bridge-96,cuda-float-1x512,96,792,1,22,1.5877683720748897e-06,8897,0.014126375206350293,0.2283025,25.660615937956614,30864418.917883072,1,696,243,23,1.320000000000001,39.85480530689311,1.0958333333333308,0.0339837,True,1.109959708539681,0.348523,0.3139960823069285,True
bridge-192,cuda-float-1x512,192,1704,1,23,1.5877683720748897e-06,21898,0.03476895181169593,0.6731539,30.74042834962097,55431888.606751,3,1534,645,59,1.320000000000001,37.0859860699785,1.3624999999999965,0.0571603,True,1.3972689518116925,0.8021038,0.5740511151843716,True
bridge-192-v8,cuda-float-1x512,192,1704,1,23,1.5877683720748897e-06,7288,0.011571655895681796,0.2574827,35.329678924259056,48231403.50788616,1,286,88,3,1.9200000000000015,28.246562072625693,1.883333333333328,0.0498722,True,1.8949049892290097,0.3773371,0.19913246423691627,True
bridge-1536-v8-blocks8,cuda-float-8x512,1536,18852,8,31,6.698999132647144e-07,298553,0.20000062880492026,43.4322819,145.4759520085211,129588428.46339142,30,15334,6902,672,0.8399999999999931,28.766579823274498,5.99999999999998,1.9341431,False,6.2000006288049,45.4716774,7.33414077229941,False
bridge-384,cuda-float-1x512,384,3592,1,23,1.5877683720748897e-06,77867,0.12363475982835544,4.0503715,52.01653460387584,69054965.45193447,8,3073,1528,125,1.1600000000000008,31.953969414164856,5.99999999999998,0.2074306,False,6.123634759828335,4.3435036,0.7093015456267614,True
bridge-800,cuda-float-1x512,800,7768,1,23,1.5877683720748897e-06,125963,0.20000006745166932,8.9514947,71.06447687019204,109309184.30862726,13,6810,3403,232,1.8600000000000014,33.43522455845654,5.99999999999998,0.2796773,False,6.200000067451649,9.3155751,1.5025120965569487,False
bridge-1536,cuda-float-1x512,1536,18852,1,31,6.698999132647144e-07,298553,0.20000062880492026,46.3067692,155.10401570240458,121544241.8729571,30,18012,8390,769,0.22250000000000017,72.10973035469031,5.99999999999998,2.7381161,False,6.2000006288049,49.1460615,7.926783308967712,False
bridge-1536-blocks4,cuda-float-4x512,1536,18852,4,31,6.698999132647144e-07,298553,0.20000062880492026,44.9233791,150.47036573070778,125287128.18933962,30,17808,7949,818,0.18000000000000013,51.998997984437956,5.99999999999998,0.9160278,False,6.2000006288049,45.9612647,7.413106457839087,False
bridge-1536-blocks8,cuda-float-8x512,1536,18852,8,31,6.698999132647144e-07,298553,0.20000062880492026,42.462668,142.22824088185348,132547515.7613742,30,16803,7484,702,0.47500000000000037,53.90753674633226,5.99999999999998,1.1126702,False,6.2000006288049,43.6769577,7.044669882302752,False
bridge-3072-blocks8,cuda-float-8x512,3072,38596,8,31,6.698999132647144e-07,44783,0.030000127815733704,8.1368459,181.69497130607598,212421949.39442074,5,11762,4749,294,6.1050000000002544,53.48348474094686,5.99999999999998,1.1541281,False,6.030000127815713,9.425364,1.5630785738331672,False
bridge-6400-blocks8,cuda-float-8x512,6400,81780,8,31,6.698999132647144e-07,44783,0.030000127815733704,11.1219469,248.35198401179017,329290705.3889999,5,18492,7923,448,13.349999999999486,47.08180300497533,5.99999999999998,1.127526,False,6.030000127815713,12.4699861,2.067991017525415,False
bridge-6400-blocks20,cuda-float-20x512,6400,81780,20,31,6.698999132647144e-07,44783,0.030000127815733704,7.949988,177.52245271643258,460674121.77225924,5,9312,3673,223,14.797499999999198,44.30708596385547,5.99999999999998,0.3312698,False,6.030000127815713,8.4761486,1.405663087949282,False
bridge-12288-blocks16,cuda-float-16x512,12288,173196,16,32,3.3235004702199585e-07,90267,0.0300002416945345,25.3709576,281.0657006436461,616211795.332471,10,18335,5642,548,3.5765625000006764,69.68215967090063,5.99999999999998,2.2816279,False,6.030000241694514,27.9920556,4.64213175423254,False
bridge-192-oak,cuda-float-1x512,192,1704,1,23,2.0291986247835695e-06,20760,0.042126163450506904,0.7315176,35.236878612716765,48358426.372789934,3,775,255,29,0.40879999999999966,44.88086503744943,5.99999999999998,0.1265378,False,6.042126163450487,0.9428291,0.1560426039600565,True
