material,damping_kg_s,experiment,integrator,error_scale,dt_s,steps,sample_every,exit_code,elapsed_s,recorded_head,dirty_source,executable_sha256,started_utc,command,log,trajectory,summary,attributed_source_commit,source_note
glass,10000,fixed,compliant,0,0.00000078125,6400,128,0,37.8128994,8bb44d039eb3c4f967e5018eae296d98c338d851,True,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,2026-09-05T04:17:14.7598399Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode compliant --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005 --dt 0.00000078125 --steps 6400 --trajectory C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-fixed-trajectory.csv --sample-every 128,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-fixed.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-fixed-trajectory.csv,balance-P=9.95555670232e-10 balance-L=4.55295209408e-13 balance-E=2.176747671e-11 normal-loss=0 impact-loss=0 support-impulse-y=291.660944365 final-COM-vy=0.782671750565 contact-energy=0 compliance-loss=31.3707787685,a7acccfe60cfa3a77159aa831079c67c55380c7f,Built from dirty 8bb44d0 sources subsequently committed as a7acccf; recorded metadata retained. No probe rebuild during the matrix.
glass,10000,adaptive-1000,adaptive,1000,0.0001,50,1,0,56.3932531,8bb44d039eb3c4f967e5018eae296d98c338d851,True,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,2026-09-05T04:17:52.6010458Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode adaptive --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005 --dt 0.0001 --steps 50 --trajectory C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-1000-trajectory.csv --sample-every 1 --error-scale 1000 --min-trial-dt 0.00000000001,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-1000.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-1000-trajectory.csv,balance-P=7.73809615452e-10 balance-L=4.35381243517e-13 balance-E=2.62367905179e-11 normal-loss=0 impact-loss=0 support-impulse-y=291.660944346 final-COM-vy=0.782671750451 contact-energy=0 compliance-loss=31.370845028,a7acccfe60cfa3a77159aa831079c67c55380c7f,Built from dirty 8bb44d0 sources subsequently committed as a7acccf; recorded metadata retained. No probe rebuild during the matrix.
glass,10000,adaptive-100,adaptive,100,0.0001,50,1,0,141.6596997,8bb44d039eb3c4f967e5018eae296d98c338d851,True,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,2026-09-05T04:18:48.9953966Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode adaptive --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005 --dt 0.0001 --steps 50 --trajectory C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-100-trajectory.csv --sample-every 1 --error-scale 100 --min-trial-dt 0.00000000001,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-100.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-100-trajectory.csv,balance-P=8.13486318905e-10 balance-L=3.61317360937e-13 balance-E=-1.40651934544e-11 normal-loss=0 impact-loss=0 support-impulse-y=291.660950537 final-COM-vy=0.78267178829 contact-energy=0 compliance-loss=31.3709775693,a7acccfe60cfa3a77159aa831079c67c55380c7f,Built from dirty 8bb44d0 sources subsequently committed as a7acccf; recorded metadata retained. No probe rebuild during the matrix.
glass,10000,adaptive-10,adaptive,10,0.0001,50,1,0,379.032668,8bb44d039eb3c4f967e5018eae296d98c338d851,True,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,2026-09-05T04:21:10.6561884Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode adaptive --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005 --dt 0.0001 --steps 50 --trajectory C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-10-trajectory.csv --sample-every 1 --error-scale 10 --min-trial-dt 0.00000000001,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-10.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-10-trajectory.csv,balance-P=6.38101484543e-09 balance-L=4.2637939093e-12 balance-E=-2.11575468256e-09 normal-loss=0 impact-loss=0 support-impulse-y=291.660943057 final-COM-vy=0.782671742618 contact-energy=0 compliance-loss=31.3709921831,a7acccfe60cfa3a77159aa831079c67c55380c7f,Built from dirty 8bb44d0 sources subsequently committed as a7acccf; recorded metadata retained. No probe rebuild during the matrix.
oak,10000,fixed,compliant,0,0.00000078125,6400,128,0,37.237175,8bb44d039eb3c4f967e5018eae296d98c338d851,True,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,2026-09-05T04:17:14.9323543Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case floor --step-mode compliant --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005 --dt 0.00000078125 --steps 6400 --trajectory C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-fixed-trajectory.csv --sample-every 128,C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-fixed.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-fixed-trajectory.csv,balance-P=3.63300565245e-10 balance-L=1.43657478576e-13 balance-E=-3.30580007812e-11 normal-loss=0 impact-loss=0 support-impulse-y=81.079600137 final-COM-vy=0.769891614413 contact-energy=0 compliance-loss=8.8301935128,a7acccfe60cfa3a77159aa831079c67c55380c7f,Built from dirty 8bb44d0 sources subsequently committed as a7acccf; recorded metadata retained. No probe rebuild during the matrix.
oak,10000,adaptive-1000,adaptive,1000,0.0001,50,1,0,50.1079878,8bb44d039eb3c4f967e5018eae296d98c338d851,True,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,2026-09-05T04:17:52.1843695Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case floor --step-mode adaptive --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005 --dt 0.0001 --steps 50 --trajectory C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-adaptive-1000-trajectory.csv --sample-every 1 --error-scale 1000 --min-trial-dt 0.00000000001,C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-adaptive-1000.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-adaptive-1000-trajectory.csv,balance-P=9.83535992295e-11 balance-L=6.14407393533e-14 balance-E=3.60884655493e-11 normal-loss=0 impact-loss=0 support-impulse-y=81.0799399909 final-COM-vy=0.76989903311 contact-energy=0 compliance-loss=8.83015194291,a7acccfe60cfa3a77159aa831079c67c55380c7f,Built from dirty 8bb44d0 sources subsequently committed as a7acccf; recorded metadata retained. No probe rebuild during the matrix.
oak,10000,adaptive-100,adaptive,100,0.0001,50,1,0,151.2095206,8bb44d039eb3c4f967e5018eae296d98c338d851,True,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,2026-09-05T04:18:42.2941743Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case floor --step-mode adaptive --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005 --dt 0.0001 --steps 50 --trajectory C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-adaptive-100-trajectory.csv --sample-every 1 --error-scale 100 --min-trial-dt 0.00000000001,C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-adaptive-100.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-adaptive-100-trajectory.csv,balance-P=1.12607116589e-10 balance-L=6.14711613503e-14 balance-E=-1.35043976002e-10 normal-loss=0 impact-loss=0 support-impulse-y=81.0789108547 final-COM-vy=0.769876568037 contact-energy=0 compliance-loss=8.83026779586,a7acccfe60cfa3a77159aa831079c67c55380c7f,Built from dirty 8bb44d0 sources subsequently committed as a7acccf; recorded metadata retained. No probe rebuild during the matrix.
oak,10000,adaptive-10,adaptive,10,0.0001,50,1,0,392.7810815,8bb44d039eb3c4f967e5018eae296d98c338d851,True,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,2026-09-05T04:21:13.5050562Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case floor --step-mode adaptive --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005 --dt 0.0001 --steps 50 --trajectory C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-adaptive-10-trajectory.csv --sample-every 1 --error-scale 10 --min-trial-dt 0.00000000001,C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-adaptive-10.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-adaptive-10-trajectory.csv,balance-P=2.05403844487e-10 balance-L=8.88294328152e-14 balance-E=3.34043903649e-11 normal-loss=0 impact-loss=0 support-impulse-y=81.0788084601 final-COM-vy=0.769874332862 contact-energy=0 compliance-loss=8.8302804365,a7acccfe60cfa3a77159aa831079c67c55380c7f,Built from dirty 8bb44d0 sources subsequently committed as a7acccf; recorded metadata retained. No probe rebuild during the matrix.
iron,10000,fixed,compliant,0,0.00000078125,6400,128,0,38.1882862,8bb44d039eb3c4f967e5018eae296d98c338d851,True,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,2026-09-05T04:17:15.0816097Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode compliant --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005 --dt 0.00000078125 --steps 6400 --trajectory C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-fixed-trajectory.csv --sample-every 128,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-fixed.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-fixed-trajectory.csv,balance-P=1.34457520758e-09 balance-L=6.93949467987e-13 balance-E=5.81223957852e-12 normal-loss=0 impact-loss=0 support-impulse-y=955.712469444 final-COM-vy=0.855605424717 contact-energy=0 compliance-loss=68.8353475294,a7acccfe60cfa3a77159aa831079c67c55380c7f,Built from dirty 8bb44d0 sources subsequently committed as a7acccf; recorded metadata retained. No probe rebuild during the matrix.
iron,10000,adaptive-1000,adaptive,1000,0.0001,50,1,0,42.4986643,8bb44d039eb3c4f967e5018eae296d98c338d851,True,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,2026-09-05T04:17:53.2980142Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode adaptive --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005 --dt 0.0001 --steps 50 --trajectory C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-adaptive-1000-trajectory.csv --sample-every 1 --error-scale 1000 --min-trial-dt 0.00000000001,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-adaptive-1000.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-adaptive-1000-trajectory.csv,balance-P=2.90299408703e-09 balance-L=1.60541917183e-12 balance-E=2.60953925135e-10 normal-loss=0 impact-loss=0 support-impulse-y=955.712456075 final-COM-vy=0.855605398759 contact-energy=0 compliance-loss=68.8353267923,a7acccfe60cfa3a77159aa831079c67c55380c7f,Built from dirty 8bb44d0 sources subsequently committed as a7acccf; recorded metadata retained. No probe rebuild during the matrix.
