source_commit,case,status,request_seconds,input_tokens,cached_input_tokens,output_tokens,mass_kg,remaining_material_kg,ixx_kg_m2,iyy_kg_m2,izz_kg_m2,speed_m_s,slip_m_s,state
d5d469dd1cdc3d839898176002e35466534a5b1a,glass,proposal,10.6684259,11248,0,214,1.2,8.8,0.00136,0.00164,0.001,0.0,0.0,resting
d5d469dd1cdc3d839898176002e35466534a5b1a,oak,proposal,11.317447,11248,0,214,0.33599999999999997,9.664,0.0003808,0.00045919999999999994,0.00028,0.0,0.0,resting
d5d469dd1cdc3d839898176002e35466534a5b1a,iron,proposal,11.2949681,11248,0,218,3.7775999999999996,6.2224,0.00428128,0.00516272,0.0031479999999999998,0.0,0.0,resting
d5d469dd1cdc3d839898176002e35466534a5b1a,door,clarification,7.3194245,11185,0,99,,,,,,,,
