source_commit,case,status,seconds,mass_kg,reused_kg,returned_kg,free_stock_before_kg,free_stock_after_kg,authoring_kinetic_before_j,authoring_kinetic_after_j,reclaimed_stock_kg,speed_m_s,slip_m_s
14bb0b760f43ee500576a8624a5205a78365e4f4,glass,proposal,10.289746000002197,1.2000000000000002,1.2000000000000002,8.7,0.1,8.8,2.175422673480808,0,10,0.0,0.0
14bb0b760f43ee500576a8624a5205a78365e4f4,oak,proposal,10.290823999996064,0.336,0.336,9.564,0.1,9.664,1.940708960442214,0,10,0.0,0.0
14bb0b760f43ee500576a8624a5205a78365e4f4,iron,proposal,10.754563499998767,3.7776000000000005,3.7776000000000005,6.1224,0.1,6.2224,2.166163908338983,0,10,0.0,0.0
14bb0b760f43ee500576a8624a5205a78365e4f4,door,clarification,7.598289000001387,,,,,,,,,,
14bb0b760f43ee500576a8624a5205a78365e4f4,energy,clarification,6.8040277999971295,,,,,,,,,,
