"material","dt_us","completed_steps","duration_s","node_count","bond_count","final_com_vy_m_s","energy_residual_j","linear_residual_kg_m_s","angular_residual_kg_m2_s","numerical_normal_loss_j","prescribed_impact_loss_j","wall_s","trials","impact_events","tested_commit","command"
"glass","20","100","0.002","1285","17097","0.952063859906","-4.27717539235E-10","3.11030135386E-09","1.16554313481E-12","0","7.6598318974E-16","46.2070497","10883","634","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","./build/win-integration/Release/banjo_solver_probe.exe --material glass --case floor --step-mode events --voxel-size 0.04 --dt 2E-05 --steps 100"
"glass","10","200","0.002","1285","17097","0.952646114106","-5.38021539706E-09","2.6944349125E-09","2.18747854296E-12","0","-1.27375390631E-17","43.00530260000001","10203","623","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","./build/win-integration/Release/banjo_solver_probe.exe --material glass --case floor --step-mode events --voxel-size 0.04 --dt 1E-05 --steps 200"
"oak","20","100","0.002","1285","17097","0.952282952345","-5.58049631001E-10","3.95800778021E-10","1.15237075225E-13","0","-2.44758261348E-17","48.170340400000015","10600","623","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","./build/win-integration/Release/banjo_solver_probe.exe --material oak --case floor --step-mode events --voxel-size 0.04 --dt 2E-05 --steps 100"
"oak","10","200","0.002","1285","17097","0.954531817989","-1.15640478258E-09","3.49308359971E-11","7.52075573285E-14","0","-3.28425372205E-17","41.2518885","10221","638","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","./build/win-integration/Release/banjo_solver_probe.exe --material oak --case floor --step-mode events --voxel-size 0.04 --dt 1E-05 --steps 200"
"iron","20","100","0.002","1285","17097","0.952899123651","-1.37686164922E-09","8.54151966861E-09","3.29712661421E-12","0","-3.57569706176E-16","47.3617152","11101","645","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","./build/win-integration/Release/banjo_solver_probe.exe --material iron --case floor --step-mode events --voxel-size 0.04 --dt 2E-05 --steps 100"
"iron","10","200","0.002","1285","17097","0.955487956127","-3.64211142349E-08","3.08126573668E-08","1.71862879079E-11","0","-9.98477980441E-16","44.92373149999999","10180","619","b31a8a5cf51d09dc725fe1448c9eb27254aeb2ea","./build/win-integration/Release/banjo_solver_probe.exe --material iron --case floor --step-mode events --voxel-size 0.04 --dt 1E-05 --steps 200"
