material,experiment,integrator,error_scale,requested_interval_s,duration_s,samples,solver_wall_s,physical_steps,trials,rejected_segments,min_physical_step_s,max_accepted_error,max_compression_m,max_interval_energy_residual_j,final_energy_residual_j,final_linear_residual_kg_m_s,final_angular_residual_kg_m2_s,final_com_vy_m_s,final_damping_work_j,executable_sha256,log
glass,fixed,compliant,0,0.00000078125,0.005,51,36.7903571,6400,6400,0,7.8125e-07,0.0,0.000195632562504,2.01440103219e-11,2.176747671e-11,9.95555670232e-10,4.55295209408e-13,0.782671750565,31.3707787685,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-fixed.txt
glass,adaptive-1000,adaptive,1000,0.0001,0.005,51,56.0501201,4962,8340,299,2.23771384501e-08,0.9996155667,0.000195633756058,1.22934551428e-10,2.62367905179e-11,7.73809615452e-10,4.35381243517e-13,0.782671750451,31.370845028,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-1000.txt
glass,adaptive-100,adaptive,100,0.0001,0.005,51,141.2985147,13748,20931,103,1.6332644638e-09,0.999475789643,0.000195635115211,1.15644382959e-10,-1.40651934544e-11,8.13486318905e-10,3.61317360937e-13,0.78267178829,31.3709775693,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-100.txt
glass,adaptive-10,adaptive,10,0.0001,0.005,51,378.68198959999995,43106,64698,13,1.69153351658e-09,0.970270965487,0.000195635130166,9.88723769524e-10,-2.11575468256e-09,6.38101484543e-09,4.2637939093e-12,0.782671742618,31.3709921831,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-10.txt
iron,fixed,compliant,0,0.00000078125,0.005,51,37.1465084,6400,6400,0,7.8125e-07,0.0,0.000384887790768,1.05444541987e-11,5.81223957852e-12,1.34457520758e-09,6.93949467987e-13,0.855605424717,68.8353475294,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-fixed.txt
iron,adaptive-1000,adaptive,1000,0.0001,0.005,51,42.1276748,3842,6510,249,5.74029496811e-08,0.999790712952,0.000384890712621,4.3322501142e-10,2.60953925135e-10,2.90299408703e-09,1.60541917183e-12,0.855605398759,68.8353267923,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-adaptive-1000.txt
iron,adaptive-100,adaptive,100,0.0001,0.005,51,128.5173857,12238,19221,288,1.6152159974e-08,0.999242675966,0.000384880253525,6.39297670357e-10,2.79145240256e-09,4.41241399475e-09,2.73238368151e-12,0.855605157412,68.8354224083,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-adaptive-100.txt
iron,adaptive-10,adaptive,10,0.0001,0.005,51,332.5638052,36848,55374,34,2.88212862477e-09,0.997982693234,0.000384880186384,6.82735645796e-09,-2.2959241619e-08,2.87955118335e-08,1.21010129276e-11,0.855605101405,68.8354320128,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-adaptive-10.txt
oak,fixed,compliant,0,0.00000078125,0.005,51,36.1946816,6400,6400,0,7.8125e-07,0.0,9.25487714363e-05,1.97282190584e-11,-3.30580007812e-11,3.63300565245e-10,1.43657478576e-13,0.769891614413,8.8301935128,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-fixed.txt
oak,adaptive-1000,adaptive,1000,0.0001,0.005,51,49.7632593,4546,7677,286,1.10834251533e-08,0.999489718252,9.25505166109e-05,3.26352278535e-11,3.60884655493e-11,9.83535992295e-11,6.14407393533e-14,0.76989903311,8.83015194291,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-adaptive-1000.txt
oak,adaptive-100,adaptive,100,0.0001,0.005,51,150.8395225,14648,22167,65,2.65324338142e-09,0.998142175225,9.25460204491e-05,1.59526614141e-10,-1.35043976002e-10,1.12607116589e-10,6.14711613503e-14,0.769876568037,8.83026779586,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-adaptive-100.txt
oak,adaptive-10,adaptive,10,0.0001,0.005,51,392.4194308,46008,69054,14,7.62939453125e-10,0.915727686317,9.25455226931e-05,1.87371201887e-10,3.34043903649e-11,2.05403844487e-10,8.88294328152e-14,0.769874332862,8.8302804365,bbc4757d1177ef69180f0a7b76b5862c8bfc7fc2b1fc04c8e9d28e5f03aac3f6,C:\Users\henry\dev\banjo-integration\build\adaptive-oak\oak-adaptive-10.txt
