comparison,first_experiment,second_experiment,material,damping_kg_s,samples,duration_s,final_position_rms_m,sampled_max_position_rms_m,final_velocity_rms_m_s,sampled_max_velocity_rms_m_s,final_position_max_m,sampled_max_position_max_m,final_velocity_max_m_s,sampled_max_velocity_max_m_s,final_com_position_difference_m,sampled_max_com_position_difference_m,final_com_velocity_difference_m_s,sampled_max_com_velocity_difference_m_s,final_internal_kinetic_difference_j,sampled_max_internal_kinetic_difference_j,final_body_elastic_difference_j,sampled_max_body_elastic_difference_j,coarse_wall_s,fine_wall_s,coarse_final_com_vy_m_s,fine_final_com_vy_m_s,damping_work_difference_j,coarse_log,fine_log,first_requested_interval_s,second_requested_interval_s
fixed_comparison,adaptive-1000,fixed,glass,10000,51,0.005,6.42633285833751e-08,6.42633285833751e-08,0.01247316485420892,0.01276524190879281,2.38993556861411e-07,3.384643468551385e-07,0.05193100307195494,0.077878870743173,3.4436477367636617e-10,3.455750282291969e-10,1.1444900584000263e-10,6.219266653312294e-06,9.892236074066085e-05,0.003750346996566928,3.2677504999995e-05,0.003684102144000001,56.0501201,36.7903571,0.782671750451,0.782671750565,6.625950000227476e-05,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-1000.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-fixed.txt,0.0001,0.00000078125
quality_refinement,adaptive-1000,adaptive-100,glass,10000,51,0.005,1.3381548151993033e-07,1.3381548151993033e-07,0.024531227877847058,0.024531227877847058,5.871715060001836e-07,5.928377529995643e-07,0.08056396163704094,0.12331045763153692,1.4299833866939653e-09,1.4299833866939653e-09,3.7839648636683876e-08,7.483210545514152e-06,0.0005485422468198276,0.009767993199126745,0.0006859289969999849,0.009905379889000004,56.0501201,141.2985147,0.782671750451,0.78267178829,0.00013254129999751285,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-1000.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-100.txt,0.0001,0.0001
fixed_comparison,adaptive-100,fixed,glass,10000,51,0.005,1.0447522144628794e-07,1.0447522144628794e-07,0.020676998934268005,0.020676998934268005,5.681100144205864e-07,5.681100144205864e-07,0.07629538473812492,0.10014627431799461,1.7743481603699485e-09,1.7743481603699485e-09,3.772519963085589e-08,1.1545247604577424e-05,0.0004496198860791667,0.006017646202559818,0.0006532514919999899,0.006221277745000003,141.2985147,36.7903571,0.78267178829,0.782671750565,0.00019880079999978761,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-100.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-fixed.txt,0.0001,0.00000078125
quality_refinement,adaptive-100,adaptive-10,glass,10000,51,0.005,2.499287619607167e-08,2.5180864104315716e-08,0.005926341568549764,0.005926341568549764,9.215538421258886e-08,1.0680590208750979e-07,0.02606160498270338,0.042643552943803585,8.032849993883663e-12,1.3813946384349309e-10,4.567259137555624e-08,8.296271810231959e-07,0.0001653473413048001,0.0025110486501153106,0.0001741148069999976,0.002519815898999994,141.2985147,378.68198959999995,0.78267178829,0.782671742618,1.4613800001228583e-05,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-100.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-10.txt,0.0001,0.0001
fixed_comparison,adaptive-10,fixed,glass,10000,51,0.005,1.1841227585056361e-07,1.1841227585056361e-07,0.022271482523761,0.022716529596837867,6.534109519840126e-07,6.534109519840126e-07,0.09730843070921402,0.11670360283109582,1.7663153103771112e-09,1.7917675158245298e-09,7.947391744700537e-09,1.2146920478850465e-05,0.0006149672273839668,0.008336026304164107,0.0008273662989999875,0.008548425444000002,378.68198959999995,36.7903571,0.782671742618,0.782671750565,0.0002134146000010162,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-adaptive-10.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-glass\glass-fixed.txt,0.0001,0.00000078125
fixed_comparison,adaptive-1000,fixed,iron,10000,51,0.005,7.137594739591648e-08,7.137594739591648e-08,0.010889526673682214,0.011146198840945535,2.125340230474393e-07,3.1646460579848323e-07,0.03620649270860954,0.056583937896001024,1.311588644550281e-09,1.311588644550281e-09,2.595837333974061e-08,3.2277266668323534e-06,0.002445103217230002,0.007347731321132894,0.002412926688799999,0.00850938510999999,42.1276748,37.1465084,0.855605398759,0.855605424717,2.0737100001610997e-05,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-adaptive-1000.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-fixed.txt,0.0001,0.00000078125
quality_refinement,adaptive-1000,adaptive-100,iron,10000,51,0.005,8.304259393159645e-08,8.344876368900848e-08,0.012251374547602525,0.012251374547602525,4.0190154557140367e-07,4.0190154557140367e-07,0.03788361745673563,0.05632536194083326,2.9851206445954967e-09,3.6126201132143103e-09,2.4134657217178557e-07,6.813754737378108e-06,0.0030611447172635836,0.009965221603885209,0.003071885743999997,0.02148507112000031,42.1276748,128.5173857,0.855605398759,0.855605157412,9.561600001006809e-05,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-adaptive-1000.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-adaptive-100.txt,0.0001,0.0001
fixed_comparison,adaptive-100,fixed,iron,10000,51,0.005,3.656191655241532e-08,3.8411608215482364e-08,0.008454598220157497,0.008454598220157497,1.9147569504940343e-07,1.9147569504940343e-07,0.03308632288047218,0.05194466329242794,1.6735320000454661e-09,2.368523804603052e-09,2.6730494551152617e-07,6.169939510802802e-06,0.0006160415000335817,0.0029334542145923598,0.000658959055199998,0.01606939568000021,128.5173857,37.1465084,0.855605157412,0.855605424717,7.48789000084571e-05,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-adaptive-100.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-fixed.txt,0.0001,0.00000078125
quality_refinement,adaptive-100,adaptive-10,iron,10000,51,0.005,1.5177171217344167e-08,1.5177171217344167e-08,0.0030161933243609998,0.003394169963122191,6.207049685347243e-08,7.308793949911671e-08,0.025415918859876818,0.03905776916913155,2.503913270300744e-10,3.960067837885553e-10,5.600684682693924e-08,7.908291843050641e-07,0.0009133366225508449,0.0012631651606523214,0.0008982862330999958,0.0021826596099998596,128.5173857,332.5638052,0.855605157412,0.855605101405,9.604499993542959e-06,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-adaptive-100.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-adaptive-10.txt,0.0001,0.0001
fixed_comparison,adaptive-10,fixed,iron,10000,51,0.005,4.370990644747499e-08,4.556328054199373e-08,0.009919128868207271,0.009919128868207271,2.2609742633683538e-07,2.2609742633683538e-07,0.03819970731854938,0.053818183134507105,1.92392332707554e-09,2.7645305883916053e-09,3.233117923384654e-07,6.5234153093785e-06,0.0002972951225172632,0.004083640945345579,0.0002393271778999978,0.015190032800000086,332.5638052,37.1465084,0.855605101405,0.855605424717,8.448340000200005e-05,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-adaptive-10.txt,C:\Users\henry\dev\banjo-integration\build\adaptive-iron\iron-fixed.txt,0.0001,0.00000078125
