material,voxel_size_m,nodes,steps_required,largest_accepted_dt_s,largest_accepted_hz,smallest_rejected_dt_s,wall_ms_at_largest_accepted,outer_at_largest,linear_at_largest,status
glass,0.25,19,8,0.03333333333333333,30.0,,,,,accepted at the 1/30 s search ceiling
glass,0.2,27,8,0.03333333333333333,30.0,,,,,accepted at the 1/30 s search ceiling
glass,0.12,81,8,0.03333333333333333,30.0,,,,,accepted at the 1/30 s search ceiling
glass,0.1,117,8,0.0188773,52.97,0.0196066,2.5048,7,324,ok
glass,0.08,179,8,0.03333333333333333,30.0,,,,,accepted at the 1/30 s search ceiling
glass,0.06,461,8,0.0115326,86.71,0.0119781,12.9682,6,522,ok
glass,0.05,739,8,0.00884481,113.1,0.00918652,37.1849,5,592,ok
glass,0.04,1285,8,0.00704552,141.9,0.00731772,59.8432,6,563,ok
glass,0.035,1863,8,0.00605428,165.2,0.00628819,158.6241,5,1086,ok
glass,0.03,2945,8,0.00500899,199.6,0.0052025,234.8066,6,1504,ok
oak,0.25,19,8,0.03333333333333333,30.0,,,,,accepted at the 1/30 s search ceiling
oak,0.2,27,8,0.03333333333333333,30.0,,,,,accepted at the 1/30 s search ceiling
oak,0.12,81,8,0.03333333333333333,30.0,,,,,accepted at the 1/30 s search ceiling
oak,0.1,117,8,0.0236982,42.2,0.0246138,2.7557,10,421,ok
oak,0.08,179,8,0.03333333333333333,30.0,,,,,accepted at the 1/30 s search ceiling
oak,0.06,461,8,0.0139393,71.74,0.0144778,13.3064,5,442,ok
oak,0.05,739,8,0.0106906,93.54,0.0111036,28.7319,5,441,ok
oak,0.04,1285,8,0.00954143,104.8,0.00991006,67.2931,5,604,ok
oak,0.035,1863,8,0.00760043,131.6,0.00789407,348.5372,11,3431,ok
oak,0.03,2945,8,0.00628819,159,0.00653112,233.0471,4,706,ok
iron,0.25,19,8,0.03333333333333333,30.0,,,,,accepted at the 1/30 s search ceiling
iron,0.2,27,8,0.03333333333333333,30.0,,,,,accepted at the 1/30 s search ceiling
iron,0.12,81,8,0.03333333333333333,30.0,,,,,accepted at the 1/30 s search ceiling
iron,0.1,117,8,0.0196066,51,0.0203641,2.5394,8,328,ok
iron,0.08,179,8,0.03333333333333333,30.0,,,,,accepted at the 1/30 s search ceiling
iron,0.06,461,8,0.0119781,83.49,0.0124409,17.1767,6,577,ok
iron,0.05,739,8,0.00918652,108.9,0.00954143,34.2824,9,591,ok
iron,0.04,1285,8,0.00704552,141.9,0.00731772,65.4465,7,534,ok
iron,0.035,1863,8,0.00605428,165.2,0.00628819,139.9253,5,992,ok
iron,0.03,2945,8,0.00500899,199.6,0.0052025,238.3149,6,1504,ok
glass,0.065,365,8,0.0123069,81.26,0.0124409,,,,ok (targeted run at the 1x lattice)
oak,0.065,365,8,0.0156181,64.03,0.0157881,,,,ok (targeted run at the 1x lattice)
iron,0.065,365,8,0.0123069,81.26,0.0124409,,,,ok (targeted run at the 1x lattice)
