material,experiment,voxel_size_m,dt_s,steps,stiffness_n_m,damping_kg_s,maximum_compression_m,gravity_m_s2,gap_m,speed_m_s,exit_code,elapsed_s,commit,dirty_source,started_utc,command,log,summary,balance-P,balance-L,balance-E,normal-loss,impact-loss,support-impulse-y,final-COM-vy,contact-energy,compliance-loss,max_modeled_compression_m,max_step_energy_residual_j,solver_wall_s,newton_iterations,linear_iterations,tested_code_commit
glass,damped-50us,0.04,0.00005,100,100000000,10000,0.005,0,0.001,1,0,1.5326073,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:41:32.6907387Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode compliant --voxel-size 0.04 --dt 0.00005 --steps 100 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005,C:\Users\henry\dev\banjo-integration\build\compliance-matrix\glass-damped-50us.txt,balance-P=4.82601510121e-11 balance-L=5.05006275173e-14 balance-E=-5.55289147997e-12 normal-loss=0 impact-loss=0 support-impulse-y=291.944002432 final-COM-vy=0.784401840357 contact-energy=0 compliance-loss=31.0998198442,4.82601510121e-11,5.05006275173e-14,-5.55289147997e-12,0,0,291.944002432,0.784401840357,0,31.0998198442,0.000196070019767,2.14015472011e-11,1.502154,258,7798,58546cbbcd3696db409124b9f353c231db0ae0e4
glass,damped-25us,0.04,0.000025,200,100000000,10000,0.005,0,0.001,1,0,1.7084404,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:41:34.2243119Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode compliant --voxel-size 0.04 --dt 0.000025 --steps 200 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005,C:\Users\henry\dev\banjo-integration\build\compliance-matrix\glass-damped-25us.txt,balance-P=1.44100909054e-08 balance-L=9.47599160511e-12 balance-E=-8.00100607989e-09 normal-loss=0 impact-loss=0 support-impulse-y=291.683905436 final-COM-vy=0.782812091706 contact-energy=0 compliance-loss=31.3210800392,1.44100909054e-08,9.47599160511e-12,-8.00100607989e-09,0,0,291.683905436,0.782812091706,0,31.3210800392,0.000195401565032,4.35711822178e-09,1.6782313,372,7633,58546cbbcd3696db409124b9f353c231db0ae0e4
glass,damped-12.5us,0.04,0.0000125,400,100000000,10000,0.005,0,0.001,1,0,2.6082326,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:42:33.3919480Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode compliant --voxel-size 0.04 --dt 0.0000125 --steps 400 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005,C:\Users\henry\dev\banjo-integration\build\compliance-fine\glass-damped-12.5us.txt,balance-P=1.82126315185e-09 balance-L=4.19427358596e-13 balance-E=-2.71544564612e-10 normal-loss=0 impact-loss=0 support-impulse-y=291.763555916 final-COM-vy=0.783298926457 contact-energy=0 compliance-loss=31.345586,1.82126315185e-09,4.19427358596e-13,-2.71544564612e-10,0,0,291.763555916,0.783298926457,0,31.345586,0.000194928854689,2.83335710449e-09,2.5561579,715,9137,58546cbbcd3696db409124b9f353c231db0ae0e4
glass,elastic-50us,0.04,0.00005,100,100000000,0,0.005,0,0.001,1,0,1.4797607,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:41:29.5528831Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode compliant --voxel-size 0.04 --dt 0.00005 --steps 100 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 0 --max-compression 0.005,C:\Users\henry\dev\banjo-integration\build\compliance-matrix\glass-elastic-50us.txt,balance-P=1.05217227091e-10 balance-L=6.20064549655e-13 balance-E=2.085585038e-10 normal-loss=0 impact-loss=0 support-impulse-y=327.195319706 final-COM-vy=0.999862733183 contact-energy=0 compliance-loss=0,1.05217227091e-10,6.20064549655e-13,2.085585038e-10,0,0,327.195319706,0.999862733183,0,0,0.000249651069712,5.81491339455e-10,1.4124692,232,7212,58546cbbcd3696db409124b9f353c231db0ae0e4
glass,elastic-25us,0.04,0.000025,200,100000000,0,0.005,0,0.001,1,0,1.6357026,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:41:31.0536219Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode compliant --voxel-size 0.04 --dt 0.000025 --steps 200 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 0 --max-compression 0.005,C:\Users\henry\dev\banjo-integration\build\compliance-matrix\glass-elastic-25us.txt,balance-P=2.77111671365e-09 balance-L=3.7172901396e-12 balance-E=-2.39076314301e-09 normal-loss=0 impact-loss=0 support-impulse-y=327.187782219 final-COM-vy=0.999816663009 contact-energy=0 compliance-loss=0,2.77111671365e-09,3.7172901396e-12,-2.39076314301e-09,0,0,327.187782219,0.999816663009,0,0,0.000249503083628,6.93844204314e-10,1.5850256999999999,348,7061,58546cbbcd3696db409124b9f353c231db0ae0e4
glass,elastic-12.5us,0.04,0.0000125,400,100000000,0,0.005,0,0.001,1,0,2.5240942,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:42:30.8466498Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode compliant --voxel-size 0.04 --dt 0.0000125 --steps 400 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 0 --max-compression 0.005,C:\Users\henry\dev\banjo-integration\build\compliance-fine\glass-elastic-12.5us.txt,balance-P=4.15474233643e-09 balance-L=2.06099225463e-12 balance-E=1.13900000542e-10 normal-loss=0 impact-loss=0 support-impulse-y=327.179907295 final-COM-vy=0.999768530381 contact-energy=0 compliance-loss=0,4.15474233643e-09,2.06099225463e-12,1.13900000542e-10,0,0,327.179907295,0.999768530381,0,0,0.00024980621943,1.04019296648e-10,2.4684902,709,9101,58546cbbcd3696db409124b9f353c231db0ae0e4
glass,loaded-50us,0.04,0.00005,400,100000000,10000,0.005,9.81,0,0,0,5.2178287,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:41:35.9336684Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode compliant --voxel-size 0.04 --dt 0.00005 --steps 400 --gap 0 --speed 0 --gravity 9.81 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005,C:\Users\henry\dev\banjo-integration\build\compliance-matrix\glass-loaded-50us.txt,balance-P=1.55303041554e-08 balance-L=8.94623731685e-11 balance-E=-1.41567421848e-13 normal-loss=0 impact-loss=0 support-impulse-y=32.1003666283 final-COM-vy=1.84961072356e-06 contact-energy=0.000514247676554 compliance-loss=0.000553572267382,1.55303041554e-08,8.94623731685e-11,-1.41567421848e-13,0,0,32.1003666283,1.84961072356e-06,0.000514247676554,0.000553572267382,1.02264395152e-06,1.01806985066e-13,5.160546,906,28540,58546cbbcd3696db409124b9f353c231db0ae0e4
glass,loaded-25us,0.04,0.000025,800,100000000,10000,0.005,9.81,0,0,0,7.1188532,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:41:41.1522044Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode compliant --voxel-size 0.04 --dt 0.000025 --steps 800 --gap 0 --speed 0 --gravity 9.81 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005,C:\Users\henry\dev\banjo-integration\build\compliance-matrix\glass-loaded-25us.txt,balance-P=2.24564118421e-08 balance-L=1.09082541492e-10 balance-E=-4.49122726856e-13 normal-loss=0 impact-loss=0 support-impulse-y=32.1002792818 final-COM-vy=1.31569493747e-06 contact-energy=0.000514121724829 compliance-loss=0.000553575125792,2.24564118421e-08,1.09082541492e-10,-4.49122726856e-13,0,0,32.1002792818,1.31569493747e-06,0.000514121724829,0.000553575125792,1.02171855371e-06,1.00639176083e-13,7.0203603999999995,1694,34717,58546cbbcd3696db409124b9f353c231db0ae0e4
glass,loaded-12.5us,0.04,0.0000125,1600,100000000,10000,0.005,9.81,0,0,0,11.2114912,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:42:36.0022883Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode compliant --voxel-size 0.04 --dt 0.0000125 --steps 1600 --gap 0 --speed 0 --gravity 9.81 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005,C:\Users\henry\dev\banjo-integration\build\compliance-fine\glass-loaded-12.5us.txt,balance-P=4.06520754844e-08 balance-L=1.67413985738e-10 balance-E=-1.2222578635e-12 normal-loss=0 impact-loss=0 support-impulse-y=32.1002711559 final-COM-vy=1.26591668423e-06 contact-energy=0.000514135380514 compliance-loss=0.000553575405836,4.06520754844e-08,1.67413985738e-10,-1.2222578635e-12,0,0,32.1002711559,1.26591668423e-06,0.000514135380514,0.000553575405836,1.02123434451e-06,2.28193735473e-13,11.0643718,3231,39558,58546cbbcd3696db409124b9f353c231db0ae0e4
iron,damped-50us,0.04,0.00005,100,100000000,10000,0.005,0,0.001,1,0,1.5522416,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:42:09.0519023Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode compliant --voxel-size 0.04 --dt 0.00005 --steps 100 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005,C:\Users\henry\dev\banjo-integration\build\compliance-matrix\iron-damped-50us.txt,balance-P=1.44348335275e-09 balance-L=6.67479159467e-13 balance-E=1.19852927583e-09 normal-loss=0 impact-loss=0 support-impulse-y=955.873487598 final-COM-vy=0.855918056572 contact-energy=0 compliance-loss=68.6612377201,1.44348335275e-09,6.67479159467e-13,1.19852927583e-09,0,0,955.873487598,0.855918056572,0,68.6612377201,0.00038493359864,1.19390897169e-09,1.5153799,256,7757,58546cbbcd3696db409124b9f353c231db0ae0e4
