"scale","material","experiment","voxel_size_m","dt_s","steps","restitution","exit_code","elapsed_s","tested_commit","recorded_head","recorded_dirty_source","started_utc","command","summary"
"coarse","glass","free","0.12","0.002","1","1","0","0.0579387","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:49.4831485Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case free --step-mode raw --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1","balance-P=1.74046714305e-14 balance-L=1.53527927876e-12 balance-E=-2.13162820728e-14 normal-loss=0 impact-loss=0 support-impulse-y=0 final-COM-vy=-0.1"
"coarse","glass","raw-floor","0.12","0.002","1","1","0","0.0238871","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:49.5615584Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode raw --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1","balance-P=1.90470519592e-12 balance-L=1.04935405887e-13 balance-E=6.96331881045e-13 normal-loss=81.5059879323 impact-loss=0 support-impulse-y=163.011975865 final-COM-vy=-0.00213041219009"
"coarse","glass","event-floor","0.12","0.002","1","1","0","0.1738581","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:49.5863323Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode events --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1","balance-P=1.51769654622e-08 balance-L=5.66850242785e-12 balance-E=-1.27343469103e-09 normal-loss=0 impact-loss=0 support-impulse-y=180.605090075 final-COM-vy=0.105564949131"
"coarse","glass","event-half-step","0.12","0.001","2","1","0","0.1793181","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:49.7610056Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode events --voxel-size 0.12 --dt 0.001 --steps 2 --gap 0.001 --speed 1 --restitution 1","balance-P=1.51769654622e-08 balance-L=5.66850242785e-12 balance-E=-1.27343469103e-09 normal-loss=0 impact-loss=0 support-impulse-y=180.605090075 final-COM-vy=0.105564949131"
"coarse","glass","event-quarter-step","0.12","0.0005","4","1","0","0.1972576","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:49.9412769Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode events --voxel-size 0.12 --dt 0.0005 --steps 4 --gap 0.001 --speed 1 --restitution 1","balance-P=1.56213957326e-08 balance-L=5.80738439276e-12 balance-E=-3.48295169514e-09 normal-loss=0 impact-loss=8.97858580561e-16 support-impulse-y=201.027607906 final-COM-vy=0.230580361908"
"coarse","glass","event-loss","0.12","0.002","1","0.3","2","0.0413203","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:50.1396538Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode events --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 0.3","advance_failure=event location last_trial_accepted=1 last_velocity_residual=3.93743541516e-13"
"coarse","oak","free","0.12","0.002","1","1","0","0.0130161","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:50.1819230Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case free --step-mode raw --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1","balance-P=7.1607233461e-15 balance-L=1.53230727933e-13 balance-E=0 normal-loss=0 impact-loss=0 support-impulse-y=0 final-COM-vy=-0.1"
"coarse","oak","raw-floor","0.12","0.002","1","1","0","0.0133976","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:50.1959534Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case floor --step-mode raw --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1","balance-P=3.19911954137e-13 balance-L=3.77596273585e-14 balance-E=4.26325641456e-13 normal-loss=22.7909371695 impact-loss=0 support-impulse-y=45.581874339 final-COM-vy=-0.00347448363286"
"coarse","oak","event-floor","0.12","0.002","1","1","0","0.1838744","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:50.2103641Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case floor --step-mode events --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1","balance-P=4.5605972332e-09 balance-L=1.71195564155e-12 balance-E=3.88297743541e-09 normal-loss=0 impact-loss=-5.96855897973e-17 support-impulse-y=51.7205627654 final-COM-vy=0.13073148633"
"coarse","oak","event-half-step","0.12","0.001","2","1","0","0.1893864","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:50.3950912Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case floor --step-mode events --voxel-size 0.12 --dt 0.001 --steps 2 --gap 0.001 --speed 1 --restitution 1","balance-P=4.5605972332e-09 balance-L=1.71195564155e-12 balance-E=3.88297743541e-09 normal-loss=0 impact-loss=-5.96855897973e-17 support-impulse-y=51.7205627654 final-COM-vy=0.13073148633"
"coarse","oak","event-quarter-step","0.12","0.0005","4","1","0","0.2374845","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:50.5854353Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case floor --step-mode events --voxel-size 0.12 --dt 0.0005 --steps 4 --gap 0.001 --speed 1 --restitution 1","balance-P=4.38058833653e-09 balance-L=1.57451541919e-12 balance-E=-1.49483270206e-09 normal-loss=0 impact-loss=-1.89758025561e-29 support-impulse-y=59.4824205432 final-COM-vy=0.30042370373"
"coarse","oak","event-loss","0.12","0.002","1","0.3","2","0.0367207","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:50.8249895Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case floor --step-mode events --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 0.3","advance_failure=event location last_trial_accepted=1 last_velocity_residual=3.86436350193e-13"
"coarse","iron","free","0.12","0.002","1","1","0","0.0121361","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:50.8624831Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case free --step-mode raw --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1","balance-P=8.67327942141e-14 balance-L=4.82446090772e-12 balance-E=8.52651282912e-14 normal-loss=0 impact-loss=0 support-impulse-y=0 final-COM-vy=-0.1"
"coarse","iron","raw-floor","0.12","0.002","1","1","0","0.0121032","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:50.8754331Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode raw --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1","balance-P=5.4576343038e-12 balance-L=3.8732409952e-13 balance-E=4.54747350886e-13 normal-loss=256.556609788 impact-loss=0 support-impulse-y=513.113219576 final-COM-vy=-0.00222468493551"
"coarse","iron","event-floor","0.12","0.002","1","1","0","0.1760158","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:50.8883067Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode events --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1","balance-P=4.80763446832e-08 balance-L=1.78750384664e-11 balance-E=-1.54261301855e-09 normal-loss=0 impact-loss=3.68249560158e-15 support-impulse-y=568.544682936 final-COM-vy=0.10556467569"
"coarse","iron","event-half-step","0.12","0.001","2","1","0","0.1842484","dc49f1293dd656bac3a33e717e1a9bd29555bf5d","343c8ca46d21b9284913974143543df003675ef1","True","2026-09-05T03:05:51.0651862Z","C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode events --voxel-size 0.12 --dt 0.001 --steps 2 --gap 0.001 --speed 1 --restitution 1","balance-P=4.80763446832e-08 balance-L=1.78750384664e-11 balance-E=-1.54261301855e-09 normal-loss=0 impact-loss=3.68249560158e-15 support-impulse-y=568.544682936 final-COM-vy=0.10556467569"
