material,voxel_size_m,nodes,bonds,dt_label,dt_s,simulated_s,steps,repeats,accepted_steps,outer_min,outer_max,linear_min,linear_max,solver_wall_s_per_simulated_s_min,solver_wall_s_per_simulated_s_med,solver_wall_s_per_simulated_s_max,wall_med_ms_per_step,wall_p95_ms_per_step,status
glass,0.07,275,3193,1/60,0.0166667,0.2,12,1,0/1,11,11,484,484,,,,13.1699,13.1699,rejected
glass,0.07,275,3193,1/120,0.00833333,0.2,24,2,48/48,4,4,168,175,0.5688,0.5873,0.6058,4.6135,6.5472,ok
glass,0.07,275,3193,1/240,0.00416667,0.2,48,2,96/96,4,4,94,96,0.7034,0.7246,0.7459,2.7604,4.7969,ok
glass,0.07,275,3193,1/480,0.00208333,0.2,96,2,192/192,3,3,92,112,1.528,1.538,1.547,2.9686,4.9385,ok
glass,0.07,275,3193,1/960,0.00104167,0.2,192,2,384/384,3,3,85,127,3.147,3.152,3.158,3.0915,5.0164,ok
glass,0.065,365,4321,1/60,0.0166667,0.2,12,1,0/1,12,12,675,675,,,,25.2384,25.2384,rejected
glass,0.065,365,4321,1/120,0.00833333,0.2,24,2,48/48,4,4,188,197,0.8138,0.8265,0.8392,6.5783,8.1714,ok
glass,0.065,365,4321,1/240,0.00416667,0.2,48,2,96/96,4,4,104,110,1.023,1.027,1.031,3.9714,5.7362,ok
glass,0.065,365,4321,1/480,0.00208333,0.2,96,2,192/192,3,3,101,130,2.044,2.103,2.162,4.1943,6.3613,ok
glass,0.065,365,4321,1/960,0.00104167,0.2,192,2,384/384,3,3,99,140,4.79,4.796,4.802,4.8048,6.7972,ok
glass,0.06,461,5665,1/60,0.0166667,0.2,12,1,0/1,11,11,750,750,,,,35.0601,35.0601,rejected
glass,0.06,461,5665,1/120,0.00833333,0.2,24,2,48/48,4,5,257,298,1.467,1.469,1.471,11.9244,15.5836,ok
glass,0.06,461,5665,1/240,0.00416667,0.2,48,2,96/96,3,4,119,146,1.602,1.642,1.682,6.3773,9.6499,ok
glass,0.06,461,5665,1/480,0.00208333,0.2,96,2,192/192,3,3,112,139,2.954,2.96,2.966,5.8986,8.3411,ok
glass,0.06,461,5665,1/960,0.00104167,0.2,192,2,384/384,3,3,109,170,6.66,6.729,6.798,6.9352,9.8142,ok
glass,0.055,509,6277,1/60,0.0166667,0.2,12,1,0/1,9,9,970,970,,,,45.4628,45.4628,rejected
glass,0.055,509,6277,1/120,0.00833333,0.2,24,2,48/48,4,4,297,341,1.773,1.825,1.876,15.1674,17.1554,ok
glass,0.055,509,6277,1/240,0.00416667,0.2,48,2,96/96,3,4,141,148,1.729,1.769,1.808,7.1083,9.1193,ok
glass,0.055,509,6277,1/480,0.00208333,0.2,96,2,192/192,3,4,112,145,3.65,3.683,3.716,7.3388,9.6561,ok
glass,0.055,509,6277,1/960,0.00104167,0.2,192,2,384/384,3,3,105,140,6.888,6.938,6.988,7.0080,9.1075,ok
glass,0.05,739,9477,1/60,0.0166667,0.2,12,1,0/1,6,6,1126,1126,,,,85.1845,85.1845,rejected
glass,0.05,739,9477,1/120,0.00833333,0.2,24,2,48/48,4,5,430,692,4.8,4.822,4.845,41.5618,47.5644,ok
glass,0.05,739,9477,1/240,0.00416667,0.2,48,2,96/96,4,4,196,201,3.846,3.865,3.884,15.7765,18.1899,ok
glass,0.05,739,9477,1/480,0.00208333,0.2,96,2,192/192,4,4,158,221,7.454,7.489,7.524,15.7112,18.8051,ok
glass,0.05,739,9477,1/960,0.00104167,0.2,192,2,384/384,3,3,125,175,11.09,11.16,11.24,11.3815,14.2739,ok
glass,0.045,919,11973,1/60,0.0166667,0.2,12,1,0/1,12,12,1814,1814,,,,178.1950,178.1950,rejected
glass,0.045,919,11973,1/120,0.00833333,0.2,24,2,48/48,4,5,433,1060,7.811,7.838,7.866,57.9005,99.4725,ok
glass,0.045,919,11973,1/240,0.00416667,0.2,48,2,96/96,4,4,272,363,6.983,6.991,6.999,27.6976,35.7977,ok
glass,0.045,919,11973,1/480,0.00208333,0.2,96,2,192/192,3,4,226,315,12.74,12.87,13,26.7013,31.1401,ok
glass,0.045,919,11973,1/960,0.00104167,0.2,192,2,384/384,3,3,141,230,18.7,18.85,18.99,19.4712,23.0785,ok
glass,0.04,1285,17097,1/60,0.0166667,0.2,12,1,0/1,7,7,1819,1819,,,,247.7946,247.7946,rejected
glass,0.04,1285,17097,1/120,0.00833333,0.2,24,1,1/2,4,7,442,779,,,,88.6577,115.4940,rejected
glass,0.04,1285,17097,1/240,0.00416667,0.2,48,2,96/96,4,4,296,555,12.54,12.65,12.76,49.8893,68.4623,ok
glass,0.04,1285,17097,1/480,0.00208333,0.2,96,2,192/192,3,4,359,524,27.93,27.99,28.05,59.4140,65.8149,ok
glass,0.04,1285,17097,1/960,0.00104167,0.2,192,2,384/384,3,3,238,316,33.16,33.42,33.69,34.3954,39.8123,ok
oak,0.2,27,185,1/60,0.0166667,0.2,12,2,24/24,5,5,79,84,0.01008,0.01156,0.01305,0.1784,0.2768,ok
oak,0.2,27,185,1/120,0.00833333,0.2,24,2,48/48,4,4,69,70,0.01767,0.01955,0.02143,0.1572,0.2320,ok
oak,0.2,27,185,1/240,0.00416667,0.2,48,2,96/96,4,4,40,46,0.01997,0.01999,0.02001,0.0827,0.0878,ok
oak,0.2,27,185,1/480,0.00208333,0.2,96,2,192/192,3,4,43,50,0.04027,0.04123,0.0422,0.0831,0.0925,ok
oak,0.2,27,185,1/960,0.00104167,0.2,192,2,384/384,3,3,21,55,0.08003,0.0814,0.08278,0.0621,0.1363,ok
oak,0.12,81,773,1/60,0.0166667,0.2,12,2,24/24,4,5,113,127,0.05602,0.06072,0.06542,0.9534,1.6372,ok
oak,0.12,81,773,1/120,0.00833333,0.2,24,2,48/48,4,4,103,106,0.1022,0.104,0.1058,0.7987,1.1915,ok
oak,0.12,81,773,1/240,0.00416667,0.2,48,2,96/96,4,4,60,62,0.1316,0.1334,0.1352,0.5023,0.9337,ok
oak,0.12,81,773,1/480,0.00208333,0.2,96,2,192/192,3,3,68,83,0.295,0.2978,0.3006,0.5527,1.1170,ok
oak,0.12,81,773,1/960,0.00104167,0.2,192,2,384/384,3,3,33,80,0.3801,0.3894,0.3987,0.3310,0.6243,ok
oak,0.1,117,1181,1/60,0.0166667,0.2,12,2,24/24,5,5,163,167,0.09817,0.09909,0.1,1.5423,2.2509,ok
oak,0.1,117,1181,1/120,0.00833333,0.2,24,2,48/48,4,4,135,152,0.1937,0.1998,0.2059,1.6105,2.1206,ok
oak,0.1,117,1181,1/240,0.00416667,0.2,48,2,96/96,4,4,70,95,0.2316,0.2316,0.2317,0.8751,1.4313,ok
oak,0.1,117,1181,1/480,0.00208333,0.2,96,2,192/192,3,4,78,82,0.4389,0.4503,0.4617,0.8804,1.1636,ok
oak,0.1,117,1181,1/960,0.00104167,0.2,192,2,384/384,3,3,39,110,0.9672,1.005,1.042,1.0052,1.5299,ok
oak,0.08,179,1957,1/60,0.0166667,0.2,12,2,24/24,5,5,177,180,0.1766,0.1776,0.1786,2.8011,3.8209,ok
oak,0.08,179,1957,1/120,0.00833333,0.2,24,2,48/48,4,4,138,160,0.3076,0.3084,0.3092,2.3843,3.3114,ok
oak,0.08,179,1957,1/240,0.00416667,0.2,48,2,96/96,4,4,78,81,0.3614,0.3699,0.3784,1.4171,2.5344,ok
oak,0.08,179,1957,1/480,0.00208333,0.2,96,2,192/192,3,3,87,103,0.861,0.8888,0.9167,1.7582,2.2880,ok
oak,0.08,179,1957,1/960,0.00104167,0.2,192,2,384/384,3,3,44,45,0.921,0.9259,0.9307,0.8650,1.5108,ok
oak,0.075,251,2881,1/60,0.0166667,0.2,12,2,24/24,5,5,196,203,0.2788,0.279,0.2792,4.5143,5.3679,ok
oak,0.075,251,2881,1/120,0.00833333,0.2,24,2,48/48,4,4,155,160,0.4893,0.4912,0.4932,3.8938,4.8522,ok
oak,0.075,251,2881,1/240,0.00416667,0.2,48,2,96/96,4,4,88,92,0.6296,0.6333,0.637,2.4478,3.9963,ok
oak,0.075,251,2881,1/480,0.00208333,0.2,96,2,192/192,3,3,89,106,1.267,1.274,1.281,2.4755,3.8153,ok
oak,0.075,251,2881,1/960,0.00104167,0.2,192,2,384/384,3,3,82,127,2.87,2.945,3.02,2.9101,4.3805,ok
oak,0.07,275,3193,1/60,0.0166667,0.2,12,2,24/24,5,6,214,355,0.3984,0.4052,0.4119,6.2009,8.9058,ok
oak,0.07,275,3193,1/120,0.00833333,0.2,24,2,48/48,4,4,166,172,0.5707,0.5819,0.5932,4.4985,5.9282,ok
oak,0.07,275,3193,1/240,0.00416667,0.2,48,2,96/96,4,4,93,95,0.6625,0.6856,0.7086,2.6937,3.8687,ok
oak,0.07,275,3193,1/480,0.00208333,0.2,96,2,192/192,3,3,92,110,1.545,1.551,1.557,2.9428,5.2281,ok
oak,0.07,275,3193,1/960,0.00104167,0.2,192,2,384/384,3,3,87,142,3.253,3.278,3.304,3.2553,4.8473,ok
oak,0.065,365,4321,1/60,0.0166667,0.2,12,1,1/2,5,12,385,730,,,,18.8271,25.3528,rejected
oak,0.065,365,4321,1/120,0.00833333,0.2,24,2,48/48,4,4,184,192,0.796,0.8069,0.8178,6.3548,8.3166,ok
oak,0.065,365,4321,1/240,0.00416667,0.2,48,2,96/96,3,4,101,107,0.9712,1.002,1.032,3.8946,5.5317,ok
oak,0.065,365,4321,1/480,0.00208333,0.2,96,2,192/192,3,3,105,126,2.151,2.177,2.203,4.3081,5.9782,ok
oak,0.065,365,4321,1/960,0.00104167,0.2,192,2,384/384,3,3,110,140,4.835,4.863,4.891,4.7812,6.7700,ok
oak,0.06,461,5665,1/60,0.0166667,0.2,12,1,0/1,7,7,557,557,,,,26.9376,26.9376,rejected
oak,0.06,461,5665,1/120,0.00833333,0.2,24,2,48/48,4,4,199,231,1.136,1.141,1.145,9.3612,11.2660,ok
oak,0.06,461,5665,1/240,0.00416667,0.2,48,2,96/96,3,4,111,138,1.434,1.443,1.451,5.9069,7.4625,ok
oak,0.06,461,5665,1/480,0.00208333,0.2,96,2,192/192,3,3,110,136,2.924,2.934,2.943,5.9738,7.9660,ok
oak,0.06,461,5665,1/960,0.00104167,0.2,192,2,384/384,3,3,105,166,6.895,6.949,7.003,7.0222,9.4875,ok
oak,0.055,509,6277,1/60,0.0166667,0.2,12,1,0/1,5,5,520,520,,,,24.8919,24.8919,rejected
oak,0.055,509,6277,1/120,0.00833333,0.2,24,2,48/48,4,5,237,300,1.728,1.747,1.766,14.2915,16.8526,ok
oak,0.055,509,6277,1/240,0.00416667,0.2,48,2,96/96,3,4,111,147,1.664,1.681,1.699,6.8828,9.0984,ok
oak,0.055,509,6277,1/480,0.00208333,0.2,96,2,192/192,3,3,107,143,3.491,3.516,3.54,7.0349,9.4467,ok
oak,0.055,509,6277,1/960,0.00104167,0.2,192,2,384/384,3,3,101,137,6.907,6.929,6.95,6.9165,9.1382,ok
oak,0.05,739,9477,1/60,0.0166667,0.2,12,1,0/1,6,6,1054,1054,,,,74.9953,74.9953,rejected
oak,0.05,739,9477,1/120,0.00833333,0.2,24,2,48/48,4,4,358,590,4.344,4.368,4.392,37.7883,43.3667,ok
oak,0.05,739,9477,1/240,0.00416667,0.2,48,2,96/96,4,4,190,197,3.714,3.719,3.724,15.3680,17.3020,ok
oak,0.05,739,9477,1/480,0.00208333,0.2,96,2,192/192,3,4,129,186,5.877,5.902,5.927,12.2900,14.6541,ok
oak,0.05,739,9477,1/960,0.00104167,0.2,192,2,384/384,3,3,120,175,11.1,11.13,11.15,11.3498,13.7470,ok
oak,0.045,919,11973,1/60,0.0166667,0.2,12,1,0/1,12,12,1551,1551,,,,145.3632,145.3632,rejected
oak,0.045,919,11973,1/120,0.00833333,0.2,24,2,48/48,4,5,407,669,6.878,6.915,6.952,58.7243,64.5509,ok
oak,0.045,919,11973,1/240,0.00416667,0.2,48,2,96/96,4,4,233,360,7.369,7.37,7.37,30.9091,36.2664,ok
oak,0.045,919,11973,1/480,0.00208333,0.2,96,2,192/192,3,4,189,274,11.34,11.34,11.34,23.3481,27.8678,ok
oak,0.045,919,11973,1/960,0.00104167,0.2,192,2,384/384,3,3,140,212,15.2,15.3,15.39,15.6355,18.6373,ok
oak,0.04,1285,17097,1/60,0.0166667,0.2,12,1,0/1,7,7,1739,1739,,,,218.2982,218.2982,rejected
oak,0.04,1285,17097,1/120,0.00833333,0.2,24,2,48/48,4,4,431,598,7.739,7.754,7.769,61.4313,80.9286,ok
oak,0.04,1285,17097,1/240,0.00416667,0.2,48,2,96/96,4,4,339,387,11.24,11.34,11.43,47.4198,52.5179,ok
oak,0.04,1285,17097,1/480,0.00208333,0.2,96,2,192/192,4,4,385,551,29.81,30.04,30.28,62.5755,73.6746,ok
oak,0.04,1285,17097,1/960,0.00104167,0.2,192,2,384/384,3,3,188,274,30.1,30.21,30.32,31.5590,36.1490,ok
iron,0.2,27,185,1/60,0.0166667,0.2,12,2,24/24,5,5,82,118,0.01412,0.01472,0.01532,0.2439,0.4000,ok
iron,0.2,27,185,1/120,0.00833333,0.2,24,2,48/48,4,4,68,71,0.01756,0.01785,0.01815,0.1452,0.1794,ok
iron,0.2,27,185,1/240,0.00416667,0.2,48,2,96/96,4,4,40,49,0.0193,0.01934,0.01939,0.0766,0.0922,ok
iron,0.2,27,185,1/480,0.00208333,0.2,96,2,192/192,3,4,44,55,0.05113,0.05227,0.05341,0.0993,0.1522,ok
iron,0.2,27,185,1/960,0.00104167,0.2,192,2,384/384,3,3,22,57,0.0954,0.09582,0.09625,0.1015,0.1440,ok
iron,0.12,81,773,1/60,0.0166667,0.2,12,2,24/24,5,5,113,131,0.05904,0.05943,0.05982,0.9627,1.6022,ok
iron,0.12,81,773,1/120,0.00833333,0.2,24,2,48/48,4,4,105,107,0.1026,0.103,0.1033,0.8065,1.2531,ok
iron,0.12,81,773,1/240,0.00416667,0.2,48,2,96/96,4,4,61,63,0.1315,0.1333,0.135,0.5148,0.6709,ok
iron,0.12,81,773,1/480,0.00208333,0.2,96,2,192/192,3,3,61,72,0.2907,0.3059,0.3211,0.5605,1.1789,ok
iron,0.12,81,773,1/960,0.00104167,0.2,192,2,384/384,3,3,35,77,0.4553,0.4622,0.4691,0.3501,0.7631,ok
iron,0.1,117,1181,1/60,0.0166667,0.2,12,2,24/24,5,6,248,292,0.1506,0.1509,0.1512,2.4548,3.0168,ok
iron,0.1,117,1181,1/120,0.00833333,0.2,24,2,48/48,4,4,131,135,0.1785,0.1875,0.1964,1.4270,2.0352,ok
iron,0.1,117,1181,1/240,0.00416667,0.2,48,2,96/96,4,4,71,71,0.2152,0.2223,0.2293,0.8546,1.3561,ok
iron,0.1,117,1181,1/480,0.00208333,0.2,96,2,192/192,3,3,68,84,0.4889,0.4896,0.4902,0.8926,1.8118,ok
iron,0.1,117,1181,1/960,0.00104167,0.2,192,2,384/384,3,3,75,112,0.9457,0.9721,0.9984,0.9555,1.2980,ok
iron,0.08,179,1957,1/60,0.0166667,0.2,12,2,24/24,5,5,180,181,0.1819,0.1826,0.1833,2.8801,3.9304,ok
iron,0.08,179,1957,1/120,0.00833333,0.2,24,2,48/48,4,4,139,145,0.2932,0.2941,0.295,2.3779,3.0334,ok
iron,0.08,179,1957,1/240,0.00416667,0.2,48,2,96/96,4,4,79,82,0.3667,0.3688,0.3708,1.4521,2.0854,ok
iron,0.08,179,1957,1/480,0.00208333,0.2,96,2,192/192,3,3,79,101,0.787,0.8085,0.8301,1.6019,2.3126,ok
iron,0.08,179,1957,1/960,0.00104167,0.2,192,2,384/384,3,3,45,103,1.115,1.133,1.152,0.8937,1.8961,ok
iron,0.075,251,2881,1/60,0.0166667,0.2,12,2,24/24,5,6,181,313,0.3825,0.3897,0.3968,6.4311,7.6031,ok
iron,0.075,251,2881,1/120,0.00833333,0.2,24,2,48/48,4,4,156,164,0.4718,0.4916,0.5113,3.9341,5.1729,ok
iron,0.075,251,2881,1/240,0.00416667,0.2,48,2,96/96,4,4,90,93,0.6172,0.6318,0.6464,2.4456,3.5308,ok
iron,0.075,251,2881,1/480,0.00208333,0.2,96,2,192/192,3,3,89,108,1.25,1.252,1.254,2.5152,3.3973,ok
iron,0.075,251,2881,1/960,0.00104167,0.2,192,2,384/384,3,3,85,128,2.739,2.762,2.786,2.8158,3.8438,ok
iron,0.07,275,3193,1/60,0.0166667,0.2,12,1,0/1,9,9,431,431,,,,11.5735,11.5735,rejected
iron,0.07,275,3193,1/120,0.00833333,0.2,24,2,48/48,4,4,168,174,0.5599,0.5665,0.5731,4.4264,6.9386,ok
iron,0.07,275,3193,1/240,0.00416667,0.2,48,2,96/96,4,4,94,96,0.6884,0.694,0.6995,2.7521,3.7675,ok
iron,0.07,275,3193,1/480,0.00208333,0.2,96,2,192/192,3,3,92,112,1.49,1.495,1.5,2.9870,3.8940,ok
iron,0.07,275,3193,1/960,0.00104167,0.2,192,2,384/384,3,3,88,131,3.19,3.202,3.214,3.2986,4.2857,ok
iron,0.065,365,4321,1/60,0.0166667,0.2,12,1,0/1,8,8,642,642,,,,21.3096,21.3096,rejected
iron,0.065,365,4321,1/120,0.00833333,0.2,24,2,48/48,4,5,188,194,0.7957,0.8094,0.8232,6.4901,7.7844,ok
iron,0.065,365,4321,1/240,0.00416667,0.2,48,2,96/96,4,4,103,110,0.9978,1.006,1.014,3.9315,5.2687,ok
iron,0.065,365,4321,1/480,0.00208333,0.2,96,2,192/192,3,3,101,130,2.057,2.063,2.069,4.1745,5.6188,ok
iron,0.065,365,4321,1/960,0.00104167,0.2,192,2,384/384,3,3,102,139,4.682,4.701,4.721,4.8273,6.1844,ok
iron,0.06,461,5665,1/60,0.0166667,0.2,12,1,0/1,11,11,716,716,,,,31.1419,31.1419,rejected
iron,0.06,461,5665,1/120,0.00833333,0.2,24,2,48/48,4,5,257,296,1.444,1.458,1.473,11.5344,14.8900,ok
iron,0.06,461,5665,1/240,0.00416667,0.2,48,2,96/96,3,4,137,145,1.566,1.578,1.589,6.3355,7.9560,ok
iron,0.06,461,5665,1/480,0.00208333,0.2,96,2,192/192,3,3,109,138,2.876,2.948,3.02,5.9130,7.9052,ok
iron,0.06,461,5665,1/960,0.00104167,0.2,192,2,384/384,3,3,104,168,6.334,6.412,6.489,6.6439,8.4490,ok
iron,0.055,509,6277,1/60,0.0166667,0.2,12,1,0/1,10,10,933,933,,,,47.1126,47.1126,rejected
iron,0.055,509,6277,1/120,0.00833333,0.2,24,2,48/48,4,4,296,305,1.737,1.754,1.771,14.3390,17.1102,ok
iron,0.055,509,6277,1/240,0.00416667,0.2,48,2,96/96,3,4,113,149,1.65,1.704,1.759,6.9942,8.8345,ok
iron,0.055,509,6277,1/480,0.00208333,0.2,96,2,192/192,3,4,109,145,3.538,3.554,3.569,7.1733,9.3866,ok
iron,0.055,509,6277,1/960,0.00104167,0.2,192,2,384/384,3,3,103,140,6.833,6.888,6.943,7.0213,8.9089,ok
iron,0.05,739,9477,1/60,0.0166667,0.2,12,1,0/1,7,7,1606,1606,,,,113.1798,113.1798,rejected
iron,0.05,739,9477,1/120,0.00833333,0.2,24,2,48/48,4,5,358,598,4.732,4.744,4.756,40.1826,45.5595,ok
iron,0.05,739,9477,1/240,0.00416667,0.2,48,2,96/96,4,4,195,201,3.893,3.908,3.923,16.1969,18.6015,ok
iron,0.05,739,9477,1/480,0.00208333,0.2,96,2,192/192,4,4,156,222,7.621,7.623,7.626,15.9217,18.5747,ok
iron,0.05,739,9477,1/960,0.00104167,0.2,192,2,384/384,3,3,125,177,11.2,11.23,11.25,11.4341,14.3934,ok
iron,0.045,919,11973,1/60,0.0166667,0.2,12,1,0/1,7,7,1498,1498,,,,143.7653,143.7653,rejected
iron,0.045,919,11973,1/120,0.00833333,0.2,24,2,48/48,4,5,594,1062,8.266,8.272,8.278,58.2126,96.4807,ok
iron,0.045,919,11973,1/240,0.00416667,0.2,48,2,96/96,4,4,209,364,7.363,7.403,7.443,31.8688,36.7321,ok
iron,0.045,919,11973,1/480,0.00208333,0.2,96,2,192/192,3,4,197,314,12.41,12.47,12.54,26.1491,30.1782,ok
iron,0.045,919,11973,1/960,0.00104167,0.2,192,2,384/384,3,3,154,229,18.66,18.72,18.79,19.3716,23.1273,ok
iron,0.04,1285,17097,1/60,0.0166667,0.2,12,1,0/1,9,9,2613,2613,,,,342.4692,342.4692,rejected
iron,0.04,1285,17097,1/120,0.00833333,0.2,24,1,1/2,4,6,601,623,,,,82.1179,85.1051,rejected
iron,0.04,1285,17097,1/240,0.00416667,0.2,48,2,96/96,4,4,305,980,13.39,13.39,13.39,51.3193,78.5303,ok
iron,0.04,1285,17097,1/480,0.00208333,0.2,96,2,192/192,3,4,423,551,29.11,29.14,29.16,60.0120,67.7797,ok
iron,0.04,1285,17097,1/960,0.00104167,0.2,192,2,384/384,3,3,235,313,32.5,32.54,32.57,33.5596,38.8044,ok
