material,voxel_size_m,nodes,bonds,dt_label,dt_s,simulated_s,steps,repeats,accepted_steps,outer_min,outer_max,linear_min,linear_max,solver_wall_s_per_simulated_s_min,solver_wall_s_per_simulated_s_med,solver_wall_s_per_simulated_s_max,wall_med_ms_per_step,wall_p95_ms_per_step,status
glass,0.2,27,185,1/60,0.0166667,0.2,12,2,24/24,5,5,82,116,0.01327,0.01354,0.0138,0.2358,0.2591,ok
glass,0.2,27,185,1/120,0.00833333,0.2,24,2,48/48,4,4,68,71,0.01771,0.01863,0.01955,0.1562,0.1778,ok
glass,0.2,27,185,1/240,0.00416667,0.2,48,2,96/96,4,4,40,49,0.01949,0.01967,0.01985,0.0769,0.0993,ok
glass,0.2,27,185,1/480,0.00208333,0.2,96,2,192/192,3,4,44,48,0.04681,0.04921,0.05162,0.0843,0.2700,ok
glass,0.2,27,185,1/960,0.00104167,0.2,192,2,384/384,3,3,22,57,0.09321,0.09377,0.09433,0.0988,0.1296,ok
glass,0.12,81,773,1/60,0.0166667,0.2,12,2,24/24,5,5,112,144,0.05819,0.05907,0.05995,1.0088,1.0781,ok
glass,0.12,81,773,1/120,0.00833333,0.2,24,2,48/48,4,4,106,121,0.1003,0.1021,0.1039,0.8001,1.1412,ok
glass,0.12,81,773,1/240,0.00416667,0.2,48,2,96/96,4,4,61,63,0.1313,0.1371,0.143,0.5131,0.9135,ok
glass,0.12,81,773,1/480,0.00208333,0.2,96,2,192/192,3,3,62,72,0.2826,0.2854,0.2881,0.5625,0.7591,ok
glass,0.12,81,773,1/960,0.00104167,0.2,192,2,384/384,3,3,35,77,0.4478,0.4605,0.4731,0.3520,0.8131,ok
glass,0.1,117,1181,1/60,0.0166667,0.2,12,2,24/24,5,7,248,295,0.152,0.1522,0.1525,2.3343,3.1938,ok
glass,0.1,117,1181,1/120,0.00833333,0.2,24,2,48/48,4,4,131,135,0.1829,0.1874,0.192,1.4394,2.0921,ok
glass,0.1,117,1181,1/240,0.00416667,0.2,48,2,96/96,4,4,71,71,0.2111,0.223,0.2349,0.8673,1.2037,ok
glass,0.1,117,1181,1/480,0.00208333,0.2,96,2,192/192,3,3,68,84,0.4481,0.4565,0.4648,0.8901,1.2871,ok
glass,0.1,117,1181,1/960,0.00104167,0.2,192,2,384/384,3,3,76,110,1.007,1.036,1.064,0.9748,1.8978,ok
glass,0.08,179,1957,1/60,0.0166667,0.2,12,2,24/24,5,5,180,181,0.1751,0.1794,0.1838,2.7885,3.6352,ok
glass,0.08,179,1957,1/120,0.00833333,0.2,24,2,48/48,4,4,139,145,0.3046,0.3088,0.313,2.3768,3.8075,ok
glass,0.08,179,1957,1/240,0.00416667,0.2,48,2,96/96,4,4,79,82,0.3872,0.3874,0.3877,1.4580,2.7859,ok
glass,0.08,179,1957,1/480,0.00208333,0.2,96,2,192/192,3,3,78,101,0.8022,0.8182,0.8343,1.5526,2.9880,ok
glass,0.08,179,1957,1/960,0.00104167,0.2,192,2,384/384,3,3,45,103,1.122,1.133,1.143,0.8850,1.9292,ok
glass,0.075,251,2881,1/60,0.0166667,0.2,12,2,24/24,5,5,286,290,0.3967,0.4048,0.4128,6.3825,7.5652,ok
glass,0.075,251,2881,1/120,0.00833333,0.2,24,2,48/48,4,4,158,164,0.5207,0.5289,0.537,4.0309,5.7235,ok
glass,0.075,251,2881,1/240,0.00416667,0.2,48,2,96/96,4,4,90,93,0.6089,0.6278,0.6466,2.4330,3.6438,ok
glass,0.075,251,2881,1/480,0.00208333,0.2,96,2,192/192,3,3,89,108,1.27,1.271,1.271,2.5446,3.4937,ok
glass,0.075,251,2881,1/960,0.00104167,0.2,192,2,384/384,3,3,85,128,2.787,2.816,2.845,2.8178,4.1366,ok
