material,voxel_size_m,nodes,bonds,dt_label,dt_s,steps,repeats,accepted_steps,outer_min,outer_max,linear_min,linear_max,max_velocity_residual_m_s,wall_min_ms,wall_med_ms,wall_p95_ms,wall_max_ms,realtime_ratio_med,status
glass,0.06,461,5665,1/240,0.004166666666666667,12,3,36/36,4,4,119,142,4.00854e-10,5.4976,6.0651,6.7417,7.0857,1.456,ok
glass,0.06,461,5665,2ms,0.002,12,3,36/36,3,3,110,139,3.9714e-11,5.0675,5.9075,7.6097,8.2303,2.954,ok
glass,0.06,461,5665,1/480,0.0020833333333333333,12,3,36/36,3,3,112,136,4.67062e-11,4.9194,5.7501,7.8040,9.2505,2.76,ok
glass,0.06,461,5665,1/960,0.0010416666666666667,12,3,36/36,3,3,109,129,1.18822e-11,4.9251,5.4265,7.6187,9.6104,5.209,ok
glass,0.05,739,9477,1/30,0.03333333333333333,12,3,0/1,47,47,17762,17762,1.1298e-08,1242.2239,1242.2239,1242.2239,1242.2239,37.27,rejected
glass,0.05,739,9477,1/60,0.016666666666666666,12,3,0/1,6,6,1126,1126,3.24876e-09,83.6863,83.6863,83.6863,83.6863,5.021,rejected
glass,0.05,739,9477,1/120,0.008333333333333333,12,3,36/36,4,5,430,595,9.95566e-10,30.3186,36.8836,44.5001,45.8788,4.426,ok
glass,0.05,739,9477,1/240,0.004166666666666667,12,3,36/36,4,4,196,199,4.60792e-10,14.5651,15.4983,18.2343,18.4169,3.72,ok
glass,0.05,739,9477,2ms,0.002,12,3,36/36,4,4,155,211,5.67424e-11,12.0940,14.7203,17.5222,17.8631,7.36,ok
glass,0.05,739,9477,1/480,0.0020833333333333333,12,3,36/36,4,4,158,215,6.85858e-11,11.6721,15.3421,17.9283,18.0998,7.364,ok
glass,0.05,739,9477,1/960,0.0010416666666666667,12,3,36/36,3,3,125,149,1.5344e-11,9.6947,11.1762,13.3569,14.0880,10.73,ok
glass,0.04,1285,17097,1/30,0.03333333333333333,12,3,0/1,77,77,30101,30101,1.90224e-08,3656.8417,3656.8417,3656.8417,3656.8417,109.7,rejected
glass,0.04,1285,17097,1/60,0.016666666666666666,12,3,0/1,7,7,1819,1819,4.80492e-09,235.2889,235.2889,235.2889,235.2889,14.12,rejected
glass,0.04,1285,17097,1/120,0.008333333333333333,12,3,1/2,4,7,442,779,1.15852e-09,60.3454,87.8434,115.3413,115.3413,10.54,rejected
glass,0.04,1285,17097,1/240,0.004166666666666667,12,3,36/36,4,4,296,363,5.97072e-10,37.8355,46.9699,54.2012,54.9720,11.27,ok
glass,0.04,1285,17097,2ms,0.002,12,3,36/36,3,4,430,475,8.8538e-11,53.3847,58.2596,64.2126,65.4976,29.13,ok
glass,0.04,1285,17097,1/480,0.0020833333333333333,12,3,36/36,3,4,424,432,1.00466e-10,54.4404,57.6324,62.3942,62.7779,27.66,ok
glass,0.04,1285,17097,1/960,0.0010416666666666667,12,3,36/36,3,3,242,248,2.60585e-11,31.6185,34.1614,39.6980,40.4701,32.79,ok
glass,0.035,1863,25385,1/30,0.03333333333333333,12,3,0/1,256,256,101703,101703,4.66296e-09,17346.2619,17346.2619,17346.2619,17346.2619,520.4,rejected
glass,0.035,1863,25385,1/60,0.016666666666666666,12,3,0/1,104,104,41265,41265,7.44756e-09,7344.8224,7344.8224,7344.8224,7344.8224,440.7,rejected
glass,0.035,1863,25385,1/120,0.008333333333333333,12,3,0/1,7,7,1409,1409,1.32846e-09,291.8913,291.8913,291.8913,291.8913,35.03,rejected
glass,0.035,1863,25385,1/240,0.004166666666666667,12,3,36/36,4,4,288,289,7.67966e-10,55.5746,59.9019,65.3592,65.7307,14.38,ok
glass,0.035,1863,25385,2ms,0.002,12,3,36/36,3,4,432,584,1.20306e-10,80.6557,98.6779,118.2219,124.6325,49.34,ok
glass,0.035,1863,25385,1/480,0.0020833333333333333,12,3,36/36,3,4,357,446,1.56509e-10,67.6636,77.0651,92.9976,93.5368,36.99,ok
glass,0.035,1863,25385,1/960,0.0010416666666666667,12,3,36/36,3,3,417,520,3.35559e-11,79.3664,88.3464,104.5312,107.4036,84.81,ok
glass,0.03,2945,41125,1/30,0.03333333333333333,12,3,0/1,12,12,4120,4120,0.0198601,1331.8241,1331.8241,1331.8241,1331.8241,39.95,rejected
glass,0.03,2945,41125,1/60,0.016666666666666666,12,3,0/1,256,256,102074,102074,2.19035e-07,29254.7322,29254.7322,29254.7322,29254.7322,1755,rejected
glass,0.03,2945,41125,1/120,0.008333333333333333,12,3,0/1,57,57,22445,22445,2.53052e-09,6901.8830,6901.8830,6901.8830,6901.8830,828.2,rejected
glass,0.03,2945,41125,1/240,0.004166666666666667,12,3,36/36,4,4,355,364,8.77478e-10,116.8823,122.7124,131.2095,131.4177,29.45,ok
glass,0.03,2945,41125,2ms,0.002,12,3,36/36,4,4,520,614,7.44168e-10,169.1040,188.0838,211.2138,213.9275,94.04,ok
glass,0.03,2945,41125,1/480,0.0020833333333333333,12,3,36/36,4,4,461,616,2.67141e-10,148.2885,197.6180,208.8544,213.8435,94.86,ok
glass,0.03,2945,41125,1/960,0.0010416666666666667,12,3,36/36,3,3,679,684,6.38838e-11,213.5533,224.4873,232.5965,233.3220,215.5,ok
oak,0.25,19,117,1/30,0.03333333333333333,12,3,36/36,7,7,109,113,2.18762e-10,0.1280,0.1327,0.2545,0.3008,0.003982,ok
oak,0.25,19,117,1/60,0.016666666666666666,12,3,36/36,5,5,63,65,6.9311e-11,0.0778,0.0804,0.1243,0.2480,0.004824,ok
oak,0.25,19,117,1/120,0.008333333333333333,12,3,36/36,4,4,32,32,5.266e-10,0.0441,0.0456,0.0808,0.0815,0.005478,ok
oak,0.25,19,117,1/240,0.004166666666666667,12,3,36/36,4,4,31,32,1.0421e-11,0.0444,0.0456,0.1302,0.1528,0.01094,ok
oak,0.25,19,117,2ms,0.002,12,3,36/36,3,3,35,36,5.63303e-13,0.0460,0.0474,0.0871,0.1188,0.0237,ok
oak,0.25,19,117,1/480,0.0020833333333333333,12,3,36/36,3,3,35,36,7.54826e-13,0.0464,0.0489,0.0826,0.0897,0.02345,ok
oak,0.25,19,117,1/960,0.0010416666666666667,12,3,36/36,3,3,17,18,1.48692e-10,0.0279,0.0293,0.0627,0.0638,0.02813,ok
oak,0.2,27,185,1/30,0.03333333333333333,12,3,36/36,7,7,158,168,8.28571e-10,0.2866,0.3244,0.3964,0.5112,0.009732,ok
oak,0.2,27,185,1/60,0.016666666666666666,12,3,36/36,5,5,79,84,4.60411e-10,0.1573,0.1654,0.2487,0.2685,0.009927,ok
oak,0.2,27,185,1/120,0.008333333333333333,12,3,36/36,4,4,69,70,4.08378e-11,0.1381,0.1613,0.2836,0.5032,0.01936,ok
oak,0.2,27,185,1/240,0.004166666666666667,12,3,36/36,4,4,40,45,3.60166e-11,0.0739,0.0758,0.1259,0.1424,0.01818,ok
oak,0.2,27,185,2ms,0.002,12,3,36/36,3,3,43,44,2.93362e-12,0.0763,0.0791,0.1209,0.1312,0.03957,ok
oak,0.2,27,185,1/480,0.0020833333333333333,12,3,36/36,3,3,43,44,3.29831e-12,0.0771,0.0789,0.1400,0.1406,0.0379,ok
oak,0.2,27,185,1/960,0.0010416666666666667,12,3,36/36,3,3,21,24,8.96974e-10,0.0466,0.0499,0.0910,0.1010,0.04786,ok
oak,0.12,81,773,1/30,0.03333333333333333,12,3,36/36,11,11,519,542,6.6997e-10,3.5869,3.8165,5.9919,6.5426,0.1145,ok
oak,0.12,81,773,1/60,0.016666666666666666,12,3,36/36,4,5,113,127,2.38543e-10,0.8304,0.9613,1.0061,1.1042,0.05768,ok
oak,0.12,81,773,1/120,0.008333333333333333,12,3,36/36,4,4,103,105,4.27402e-11,0.7750,0.8013,1.7596,1.8467,0.09615,ok
oak,0.12,81,773,1/240,0.004166666666666667,12,3,36/36,4,4,60,62,2.88907e-11,0.4908,0.5095,0.5886,1.0641,0.1223,ok
oak,0.12,81,773,2ms,0.002,12,3,36/36,3,3,67,69,2.29021e-12,0.5316,0.5510,0.6696,1.1129,0.2755,ok
oak,0.12,81,773,1/480,0.0020833333333333333,12,3,36/36,3,3,68,69,2.4077e-12,0.5324,0.5533,0.8018,0.8849,0.2656,ok
oak,0.12,81,773,1/960,0.0010416666666666667,12,3,36/36,3,3,33,34,7.50393e-10,0.3112,0.3241,0.6463,0.7129,0.3111,ok
oak,0.1,117,1181,1/30,0.03333333333333333,12,3,0/1,17,17,830,830,1.90681e-09,7.8702,7.8702,7.8702,7.8702,0.2361,rejected
oak,0.1,117,1181,1/60,0.016666666666666666,12,3,36/36,5,5,163,167,9.77688e-10,1.5028,1.5686,1.8193,2.0426,0.09412,ok
oak,0.1,117,1181,1/120,0.008333333333333333,12,3,36/36,4,4,135,151,2.00199e-10,1.4827,1.6524,2.6477,3.0886,0.1983,ok
oak,0.1,117,1181,1/240,0.004166666666666667,12,3,36/36,4,4,70,70,9.07996e-11,0.8385,0.8668,0.9572,1.0139,0.208,ok
oak,0.1,117,1181,2ms,0.002,12,3,36/36,3,3,78,78,1.01154e-11,0.8632,0.8896,1.0459,1.0521,0.4448,ok
oak,0.1,117,1181,1/480,0.0020833333333333333,12,3,36/36,3,3,78,78,1.23053e-11,0.8630,0.8998,1.5085,1.5374,0.4319,ok
oak,0.1,117,1181,1/960,0.0010416666666666667,12,3,36/36,3,3,73,85,2.59203e-12,0.8164,0.8663,1.4358,1.5269,0.8317,ok
oak,0.08,179,1957,1/30,0.03333333333333333,12,3,36/36,15,15,1267,1285,8.32456e-10,18.5270,20.2700,24.0504,24.7638,0.6081,ok
oak,0.08,179,1957,1/60,0.016666666666666666,12,3,36/36,5,5,177,180,2.21868e-10,2.7025,2.8190,4.1310,4.1408,0.1691,ok
oak,0.08,179,1957,1/120,0.008333333333333333,12,3,36/36,4,4,138,160,5.1332e-11,2.2024,2.3543,3.4509,3.6922,0.2825,ok
oak,0.08,179,1957,1/240,0.004166666666666667,12,3,36/36,4,4,78,78,2.24346e-11,1.3489,1.3832,1.6419,1.6771,0.332,ok
