material,voxel_size_m,nodes,bonds,dt_label,dt_s,steps,repeats,accepted_steps,outer_min,outer_max,linear_min,linear_max,max_velocity_residual_m_s,wall_min_ms,wall_med_ms,wall_p95_ms,wall_max_ms,realtime_ratio_med,status
iron,0.08,179,1957,1/60,0.016666666666666666,12,3,36/36,5,5,180,181,3.79125e-10,2.7117,2.8088,3.7402,3.9760,0.1685,ok
iron,0.08,179,1957,1/120,0.008333333333333333,12,3,36/36,4,4,139,141,7.12928e-11,2.2380,2.3441,4.2335,4.5911,0.2813,ok
iron,0.08,179,1957,1/240,0.004166666666666667,12,3,36/36,4,4,79,81,6.63044e-11,1.3769,1.4336,2.4358,2.9873,0.3441,ok
iron,0.08,179,1957,2ms,0.002,12,3,36/36,3,3,81,85,4.50927e-12,1.3827,1.4493,2.0809,3.2519,0.7246,ok
iron,0.08,179,1957,1/480,0.0020833333333333333,12,3,36/36,3,3,79,81,4.71849e-12,1.3777,1.4083,2.4164,2.5967,0.676,ok
iron,0.08,179,1957,1/960,0.0010416666666666667,12,3,36/36,3,3,45,45,6.78428e-10,0.8287,0.8585,1.5223,1.9120,0.8242,ok
iron,0.06,461,5665,1/30,0.03333333333333333,12,3,0/1,59,59,12959,12959,6.31328e-09,529.2855,529.2855,529.2855,529.2855,15.88,rejected
iron,0.06,461,5665,1/60,0.016666666666666666,12,3,0/1,11,11,716,716,1.96991e-09,32.7786,32.7786,32.7786,32.7786,1.967,rejected
iron,0.06,461,5665,1/120,0.008333333333333333,12,3,36/36,4,5,257,293,6.12095e-10,10.3149,11.6133,13.8860,15.7761,1.394,ok
iron,0.06,461,5665,1/240,0.004166666666666667,12,3,36/36,4,4,138,140,3.31482e-10,5.7312,5.9684,8.6208,10.1582,1.432,ok
iron,0.06,461,5665,2ms,0.002,12,3,36/36,3,3,109,138,4.36855e-11,4.8994,5.8809,7.3048,8.1090,2.94,ok
iron,0.06,461,5665,1/480,0.0020833333333333333,12,3,36/36,3,3,109,135,4.03095e-11,4.9243,5.1320,6.3459,6.3845,2.463,ok
iron,0.06,461,5665,1/960,0.0010416666666666667,12,3,36/36,3,3,104,129,9.80481e-12,4.8709,5.5217,7.6530,10.8363,5.301,ok
iron,0.05,739,9477,1/30,0.03333333333333333,12,3,0/1,43,43,16280,16280,1.09517e-08,1146.3653,1146.3653,1146.3653,1146.3653,34.39,rejected
iron,0.05,739,9477,1/60,0.016666666666666666,12,3,0/1,7,7,1606,1606,3.30304e-09,113.3948,113.3948,113.3948,113.3948,6.804,rejected
iron,0.05,739,9477,1/120,0.008333333333333333,12,3,36/36,4,5,358,598,9.80522e-10,25.1583,38.7135,44.6629,48.2490,4.646,ok
iron,0.05,739,9477,1/240,0.004166666666666667,12,3,36/36,4,4,196,199,5.53789e-10,14.3195,16.1575,18.0430,19.2106,3.878,ok
iron,0.05,739,9477,2ms,0.002,12,3,36/36,4,4,152,182,5.96292e-11,11.4540,13.2804,16.1899,16.8838,6.64,ok
iron,0.05,739,9477,1/480,0.0020833333333333333,12,3,36/36,4,4,156,215,7.62591e-11,11.8672,15.0537,18.3103,21.6763,7.226,ok
iron,0.05,739,9477,1/960,0.0010416666666666667,12,3,36/36,3,3,125,149,1.72554e-11,9.6808,10.6625,14.8244,15.3360,10.24,ok
iron,0.04,1285,17097,1/30,0.03333333333333333,12,3,0/1,39,39,14901,14901,1.91633e-08,1928.8237,1928.8237,1928.8237,1928.8237,57.86,rejected
iron,0.04,1285,17097,1/60,0.016666666666666666,12,3,0/1,9,9,2613,2613,3.58478e-09,347.5034,347.5034,347.5034,347.5034,20.85,rejected
iron,0.04,1285,17097,1/120,0.008333333333333333,12,3,1/2,4,6,601,623,1.36332e-09,80.2778,83.9416,87.6054,87.6054,10.07,rejected
iron,0.04,1285,17097,1/240,0.004166666666666667,12,3,36/36,4,4,305,366,5.90501e-10,40.4307,49.4664,52.9975,53.1763,11.87,ok
iron,0.04,1285,17097,2ms,0.002,12,3,36/36,3,4,402,443,8.35568e-11,51.1625,58.9509,62.6316,63.8388,29.48,ok
iron,0.04,1285,17097,1/480,0.0020833333333333333,12,3,36/36,3,4,428,433,1.1275e-10,55.4861,57.8340,63.5971,63.6700,27.76,ok
iron,0.04,1285,17097,1/960,0.0010416666666666667,12,3,36/36,3,3,236,247,2.63019e-11,31.1954,34.4971,38.6381,39.4083,33.12,ok
iron,0.035,1863,25385,1/30,0.03333333333333333,12,3,0/1,256,256,101704,101704,1.65574e-08,17719.0591,17719.0591,17719.0591,17719.0591,531.6,rejected
iron,0.035,1863,25385,1/60,0.016666666666666666,12,3,0/1,121,121,48065,48065,7.2255e-09,8529.4421,8529.4421,8529.4421,8529.4421,511.8,rejected
iron,0.035,1863,25385,1/120,0.008333333333333333,12,3,0/1,5,5,1018,1018,1.77213e-09,205.3394,205.3394,205.3394,205.3394,24.64,rejected
iron,0.035,1863,25385,1/240,0.004166666666666667,12,3,36/36,4,4,288,291,7.14349e-10,56.1544,59.2304,66.3887,68.4182,14.22,ok
iron,0.035,1863,25385,2ms,0.002,12,3,36/36,3,4,362,553,1.41026e-10,68.1323,84.5419,105.6806,106.8829,42.27,ok
iron,0.035,1863,25385,1/480,0.0020833333333333333,12,3,36/36,3,3,362,440,1.45923e-10,68.7178,73.2207,88.4502,99.0945,35.15,ok
iron,0.035,1863,25385,1/960,0.0010416666666666667,12,3,36/36,3,3,410,489,4.04851e-11,77.5813,90.5233,96.7911,97.4449,86.9,ok
iron,0.03,2945,41125,1/30,0.03333333333333333,12,3,0/1,256,256,101720,101720,1.80649e-06,29030.0034,29030.0034,29030.0034,29030.0034,870.9,rejected
iron,0.03,2945,41125,1/60,0.016666666666666666,12,3,0/1,256,256,102074,102074,2.01054e-08,28902.9216,28902.9216,28902.9216,28902.9216,1734,rejected
iron,0.03,2945,41125,1/120,0.008333333333333333,12,3,0/1,111,111,44045,44045,2.82993e-09,12474.6493,12474.6493,12474.6493,12474.6493,1497,rejected
iron,0.03,2945,41125,1/240,0.004166666666666667,12,3,36/36,4,4,355,758,8.47338e-10,112.2364,116.4621,240.1797,243.5486,27.95,ok
iron,0.03,2945,41125,2ms,0.002,12,3,36/36,4,4,543,1016,3.14558e-10,167.6391,195.4390,325.5344,330.0523,97.72,ok
iron,0.03,2945,41125,1/480,0.0020833333333333333,12,3,36/36,4,4,531,1018,6.81849e-10,162.8252,191.5897,315.5775,321.9158,91.96,ok
iron,0.03,2945,41125,1/960,0.0010416666666666667,12,3,36/36,3,3,679,685,5.24844e-11,205.0122,218.5905,232.8188,235.6103,209.8,ok
