material,experiment,voxel_size_m,dt_s,steps,restitution,exit_code,elapsed_s,commit,dirty_source,started_utc,command,log,summary,tested_code_commit
glass,free,0.12,0.002,1,1,0,0.0227009,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:43:20.3420261Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case free --step-mode raw --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1,C:\Users\henry\dev\banjo-integration\build\compliance-rigid-regression\glass-free.txt,balance-P=1.74046714305e-14 balance-L=1.53527927876e-12 balance-E=-2.13162820728e-14 normal-loss=0 impact-loss=0 support-impulse-y=0 final-COM-vy=-0.1 contact-energy=0 compliance-loss=0,58546cbbcd3696db409124b9f353c231db0ae0e4
glass,raw-floor,0.12,0.002,1,1,0,0.0241195,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:43:20.3825622Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode raw --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1,C:\Users\henry\dev\banjo-integration\build\compliance-rigid-regression\glass-raw-floor.txt,balance-P=1.90470519592e-12 balance-L=1.04935405887e-13 balance-E=6.96331881045e-13 normal-loss=81.5059879323 impact-loss=0 support-impulse-y=163.011975865 final-COM-vy=-0.00213041219009 contact-energy=0 compliance-loss=0,58546cbbcd3696db409124b9f353c231db0ae0e4
glass,event-floor,0.12,0.002,1,1,0,0.1794285,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:43:20.4080147Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode events --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1,C:\Users\henry\dev\banjo-integration\build\compliance-rigid-regression\glass-event-floor.txt,balance-P=1.51769654623e-08 balance-L=5.58481343779e-12 balance-E=-8.68932659159e-09 normal-loss=0 impact-loss=0 support-impulse-y=180.605089969 final-COM-vy=0.10556494848 contact-energy=0 compliance-loss=0,58546cbbcd3696db409124b9f353c231db0ae0e4
glass,event-half-step,0.12,0.001,2,1,0,0.1902648,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:43:20.5882768Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode events --voxel-size 0.12 --dt 0.001 --steps 2 --gap 0.001 --speed 1 --restitution 1,C:\Users\henry\dev\banjo-integration\build\compliance-rigid-regression\glass-event-half-step.txt,balance-P=1.51769654623e-08 balance-L=5.58481343779e-12 balance-E=-8.68932659159e-09 normal-loss=0 impact-loss=0 support-impulse-y=180.605089969 final-COM-vy=0.10556494848 contact-energy=0 compliance-loss=0,58546cbbcd3696db409124b9f353c231db0ae0e4
glass,event-quarter-step,0.12,0.0005,4,1,0,0.1894831,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:43:20.7795747Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode events --voxel-size 0.12 --dt 0.0005 --steps 4 --gap 0.001 --speed 1 --restitution 1,C:\Users\henry\dev\banjo-integration\build\compliance-rigid-regression\glass-event-quarter-step.txt,balance-P=1.51423762419e-08 balance-L=5.58920218031e-12 balance-E=-8.83852635525e-09 normal-loss=0 impact-loss=0 support-impulse-y=201.027608 final-COM-vy=0.230580362483 contact-energy=0 compliance-loss=0,58546cbbcd3696db409124b9f353c231db0ae0e4
glass,event-loss,0.12,0.002,1,0.3,2,0.2361007,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:43:20.9701570Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material glass --case floor --step-mode events --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 0.3,C:\Users\henry\dev\banjo-integration\build\compliance-rigid-regression\glass-event-loss.txt,"advance_failure=substep budget last_trial_accepted=1 last_velocity_residual=5.23962145687e-17 remaining_s=0.000986044455182 last_dt_s=2.55511776284e-13 gap_m=4.35762537165e-15 bracket_s=[0,0.000986044455437] bracket_gap_m=[4.35762537165e-15,-1.68164943236e-05]",58546cbbcd3696db409124b9f353c231db0ae0e4
oak,free,0.12,0.002,1,1,0,0.0128038,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:43:21.2071697Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case free --step-mode raw --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1,C:\Users\henry\dev\banjo-integration\build\compliance-rigid-regression\oak-free.txt,balance-P=7.1607233461e-15 balance-L=1.53230727933e-13 balance-E=0 normal-loss=0 impact-loss=0 support-impulse-y=0 final-COM-vy=-0.1 contact-energy=0 compliance-loss=0,58546cbbcd3696db409124b9f353c231db0ae0e4
oak,raw-floor,0.12,0.002,1,1,0,0.012046,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:43:21.2209787Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case floor --step-mode raw --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1,C:\Users\henry\dev\banjo-integration\build\compliance-rigid-regression\oak-raw-floor.txt,balance-P=3.19911954137e-13 balance-L=3.77596273585e-14 balance-E=4.26325641456e-13 normal-loss=22.7909371695 impact-loss=0 support-impulse-y=45.581874339 final-COM-vy=-0.00347448363286 contact-energy=0 compliance-loss=0,58546cbbcd3696db409124b9f353c231db0ae0e4
oak,event-floor,0.12,0.002,1,1,0,0.1942098,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:43:21.2338936Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case floor --step-mode events --voxel-size 0.12 --dt 0.002 --steps 1 --gap 0.001 --speed 1 --restitution 1,C:\Users\henry\dev\banjo-integration\build\compliance-rigid-regression\oak-event-floor.txt,balance-P=4.56059012777e-09 balance-L=1.7125749445e-12 balance-E=-2.57235660968e-09 normal-loss=0 impact-loss=-5.96855897462e-17 support-impulse-y=51.7205627612 final-COM-vy=0.130731486239 contact-energy=0 compliance-loss=0,58546cbbcd3696db409124b9f353c231db0ae0e4
oak,event-half-step,0.12,0.001,2,1,0,0.1870136,97ffcb848964c2aa24467f82bd5a406d9b0ce1a2,True,2026-09-05T03:43:21.4290444Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material oak --case floor --step-mode events --voxel-size 0.12 --dt 0.001 --steps 2 --gap 0.001 --speed 1 --restitution 1,C:\Users\henry\dev\banjo-integration\build\compliance-rigid-regression\oak-event-half-step.txt,balance-P=4.56059012777e-09 balance-L=1.7125749445e-12 balance-E=-2.57235660968e-09 normal-loss=0 impact-loss=-5.96855897462e-17 support-impulse-y=51.7205627612 final-COM-vy=0.130731486239 contact-energy=0 compliance-loss=0,58546cbbcd3696db409124b9f353c231db0ae0e4
