material,damping_kg_s,coarse_dt_s,fine_dt_s,time_s,position_rms_m,velocity_rms_m_s,position_max_m,velocity_max_m_s,com_position_difference_m,com_velocity_difference_m_s,internal_kinetic_difference_j,body_elastic_difference_j
glass,0,1.25E-05,6.25E-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,0,1.25E-05,6.25E-06,0.0001,2.0396058299465963e-16,0.0,3.3306690738754696e-16,0.0,8.035147086669913e-17,0.0,0.0,5.722873866725e-20
glass,0,1.25E-05,6.25E-06,0.0002,1.5831119585655992e-16,2.591402455947461e-11,4.20934145542537e-16,2.7223167787780883e-10,9.615081179463823e-17,2.0014830212433605e-16,3.9714331027238637e-20,3.167788510843e-20
glass,0,1.25E-05,6.25E-06,0.0003,1.6237864808606889e-16,2.4259350592394535e-11,4.20934145542537e-16,1.9968774940680308e-10,9.593509011069148e-17,7.850462293418876e-17,3.851377449777239e-20,3.4501323283420003e-20
glass,0,1.25E-05,6.25E-06,0.0004,1.792078830146226e-16,2.442176803552529e-11,5.236560911713848e-16,2.6446647214197485e-10,9.627616566041178e-17,0.0,2.876412632749567e-20,4.569896967212e-20
glass,0,1.25E-05,6.25E-06,0.0005,1.6579744931904355e-16,2.7496958662739065e-11,5.151967300028648e-16,2.0912876508521776e-10,9.622765839934851e-17,1.0007415106216802e-16,3.7175481631639507e-20,3.87976500873e-20
glass,0,1.25E-05,6.25E-06,0.0006,1.9464883647960537e-16,2.696411563043666e-11,7.176578424046759e-16,2.379777993659495e-10,9.64381462982419e-17,2.897767167584095e-16,3.753838540504947e-20,4.10705932865e-20
glass,0,1.25E-05,6.25E-06,0.0007,1.7853861182086318e-16,2.914929114417469e-11,5.582684061009224e-16,3.2855694014384176e-10,9.604843034161683e-17,2.830524433501838e-16,3.72282949178781e-20,4.48379056532e-20
glass,0,1.25E-05,6.25E-06,0.0008,1.9170357124221563e-16,2.854738714923849e-11,5.422961973575514e-16,3.20312586815345e-10,9.694028983179129e-17,2.3551386880256624e-16,3.7521238947090283e-20,4.70340772726e-20
glass,0,1.25E-05,6.25E-06,0.0009,1.9012081185060965e-16,2.988861330763058e-11,5.930623543049407e-16,3.649398834412015e-10,9.821542143678303e-17,2.6766507790745728e-16,3.842143572200322e-20,4.8060722315900005e-20
glass,0,1.25E-05,6.25E-06,0.001,2.0040380751053133e-16,3.018827250714281e-11,5.692008124507051e-16,2.9141966701294683e-10,9.684007758152671e-17,2.3551386880256624e-16,3.581936798871528e-20,5.3285144327799997e-20
glass,0,1.25E-05,6.25E-06,0.0011,4.08472790231325e-08,0.003682549057674958,9.069834051855796e-08,0.012391262354271348,1.2966214988849312e-08,1.050640762945143e-05,0.0018087249889368363,0.003997782279999917
glass,0,1.25E-05,6.25E-06,0.0012,7.59569770758963e-08,0.005308806440695334,2.1264665047565634e-07,0.02244210218834611,2.0021555820811526e-08,8.328461421569511e-05,0.0037844466944801855,0.0024850031099998837
glass,0,1.25E-05,6.25E-06,0.0013,1.0963682941697825e-07,0.006033034031236998,2.444516930821816e-07,0.03375282279794813,1.831092270908677e-08,0.00015766755467760962,0.0007347519445621235,0.004175110369999402
glass,0,1.25E-05,6.25E-06,0.0014,8.055765801251073e-08,0.009662116959779074,2.4494316983513995e-07,0.0378488207316335,3.901184389637838e-09,0.00015020958722442024,0.002580575733034055,0.05766284092999996
glass,0,1.25E-05,6.25E-06,0.0015,1.473644603308045e-07,0.009623471040815781,2.8427129281083374e-07,0.03077067984567311,2.2030339897173914e-08,0.00023999397436813563,0.003878592393075333,0.02317735752999983
glass,0,1.25E-05,6.25E-06,0.0016,1.3294280061333125e-07,0.0119079032752778,3.708899590781911e-07,0.04374817969052347,5.1754198640433305e-08,0.0002864303273327762,0.006229293338366294,0.13590731164000003
glass,0,1.25E-05,6.25E-06,0.0017,1.5622559339478304e-07,0.012981459162805731,3.4189075022966734e-07,0.041796513257328693,8.440665339912688e-08,8.580386596057643e-05,0.019893505510350535,0.007003001049999957
glass,0,1.25E-05,6.25E-06,0.0018,2.433994608562282e-07,0.010634444748483702,7.474971450149859e-07,0.04053943478206671,1.1300483053586392e-07,2.5422554024712163e-05,0.007159531175463826,0.044018608512399984
glass,0,1.25E-05,6.25E-06,0.0019,1.8647000406748075e-07,0.01527528932015169,6.285922747872874e-07,0.036037127642516,1.0568740010680634e-07,0.00012544473550157864,0.012942898372463475,0.007574937390100001
glass,0,1.25E-05,6.25E-06,0.002,2.92200823806705e-07,0.014009760557751338,8.366979167284683e-07,0.04326216834383445,9.314292660463422e-08,0.00012544473470277318,0.0015576823866510145,0.018960153377770003
glass,0,1.25E-05,6.25E-06,0.0021,2.8602684311000577e-07,0.016631609231038572,4.700293993810525e-07,0.0638796251008541,8.059845312002618e-08,0.0001254447345934162,0.012184607632191567,0.0327024433962
glass,0,1.25E-05,6.25E-06,0.0022,3.142609500219533e-07,0.017982891048021008,7.206774107759717e-07,0.05391247650314479,6.805397963747812e-08,0.00012544473460018857,0.027947885807756534,0.0074300500434999976
glass,0,1.25E-05,6.25E-06,0.0023,4.110660680735575e-07,0.015706013038659445,1.094469136521977e-06,0.029949603239408422,5.550950617054257e-08,0.00012544473457487548,0.006158318472378868,0.026676154238599998
glass,0,1.25E-05,6.25E-06,0.0024,3.4445989190820437e-07,0.019874556408623626,9.558744416826581e-07,0.09410625402090578,4.2965032682681925e-08,0.00012544473525666344,0.016274623913571245,0.004243211851599999
glass,0,1.25E-05,6.25E-06,0.0025,4.659015798482085e-07,0.015506016163091118,9.0086919174448e-07,0.05298736039443819,3.04205591611568e-08,0.00012544473536624245,0.0287107646153252,0.008192928851500001
glass,0,1.25E-05,6.25E-06,0.0026,4.1993947792917476e-07,0.019614604210229813,1.5334372482911363e-06,0.07592764743522573,1.787608560518115e-08,0.00012544473542308587,0.010746559983758655,0.0312643957486
glass,0,1.25E-05,6.25E-06,0.0027,3.6523837500326737e-07,0.023923680964548288,6.863332844136982e-07,0.045322098734931364,5.331612058556745e-09,0.00012544473538078638,0.03318702340035996,0.012669187635999998
glass,0,1.25E-05,6.25E-06,0.0028,4.83068956482625e-07,0.022962257385842042,1.1846670104342927e-06,0.05617971026827573,7.2128615136954916e-09,0.00012544473589237715,0.007281539340674725,0.01323629642429
glass,0,1.25E-05,6.25E-06,0.0029,2.6001157550015586e-07,0.030315770008081774,7.434348257007173e-07,0.0705699332007539,1.9757335110410037e-08,0.00012544473636744158,0.0026641980800800845,0.023182033845400005
