material,resolution,cells,links,dt_s,repeats,wall_per_step_ms,wall_per_step_spread_ms,realtime_ratio_as_run,max_pair_frequency_rad_s,step_times_pair_frequency,resolved_max_step_s,required_substeps,temporally_resolved,status
glass,3x4x1,,,0.0020833333333333333,3,,,,,,,,,not-run:network integer outside bounds
glass,4x6x2,48,236,0.0020833333333333333,3,0.0442,0.0074,0.0212,105913,220.651,8.86143e-07,2352,False,ok
glass,5x7x2,70,363,0.0020833333333333333,3,0.0682,0.0055,0.03276,112787,234.972,7.74473e-07,2691,False,ok
glass,6x9x2,108,586,0.0020833333333333333,3,0.1019,0.0029,0.04892,121240,252.583,6.62341e-07,3146,False,ok
glass,8x12x3,288,1858,0.0020833333333333333,3,0.4682,0.0100,0.2248,174858,364.287,3.97398e-07,5243,False,ok
glass,10x15x4,600,4208,0.0020833333333333333,3,2.1075,0.0392,1.012,228182,475.379,3.11407e-07,6691,False,ok
glass,12x18x4,,,0.0020833333333333333,3,,,,,,,,,not-run:network integer outside bounds
oak,3x4x1,,,0.0020833333333333333,3,,,,,,,,,not-run:network integer outside bounds
oak,4x6x2,,,0.0020833333333333333,3,,,,,,,,,not-run:network cohesive law requires df greater than d0
oak,5x7x2,70,363,0.0020833333333333333,3,0.0653,0.0049,0.03133,55034.2,114.655,1.92451e-06,1083,False,ok
oak,6x9x2,108,586,0.0020833333333333333,3,0.1019,0.0197,0.0489,67079.9,139.75,1.65001e-06,1263,False,ok
oak,8x12x3,288,1858,0.0020833333333333333,3,0.4833,0.0112,0.232,91213,190.027,1.05415e-06,1977,False,ok
oak,10x15x4,600,4208,0.0020833333333333333,3,4.7019,0.0343,2.257,115249,240.103,8.2179e-07,2536,False,ok
oak,12x18x4,,,0.0020833333333333333,3,,,,,,,,,not-run:network integer outside bounds
iron,3x4x1,,,0.0020833333333333333,3,,,,,,,,,not-run:network integer outside bounds
iron,4x6x2,48,236,0.0020833333333333333,3,0.0470,0.0060,0.02256,103639,215.914,9.05584e-07,2301,False,ok
iron,5x7x2,70,363,0.0020833333333333333,3,0.0633,0.0087,0.03038,110365,229.928,7.91464e-07,2633,False,ok
iron,6x9x2,108,586,0.0020833333333333333,3,0.1043,0.0149,0.05005,118637,247.16,6.76872e-07,3078,False,ok
iron,8x12x3,288,1858,0.0020833333333333333,3,0.4828,0.0255,0.2317,171104,356.467,4.06116e-07,5130,False,ok
iron,10x15x4,600,4208,0.0020833333333333333,3,2.0943,0.0425,1.005,223283,465.173,3.18239e-07,6547,False,ok
iron,12x18x4,,,0.0020833333333333333,3,,,,,,,,,not-run:network integer outside bounds
glass,6x9x2,108,586,0.004166666666666667,3,0.0720,0.0061,0.01728,121240,505.166,6.62341e-07,6291,False,ok
glass,6x9x2,108,586,0.0010416666666666667,3,0.1671,0.0106,0.1605,121240,126.291,6.62341e-07,1573,False,ok
glass,6x9x2,108,586,0.0005208333333333333,3,0.3128,0.0171,0.6006,121240,63.1457,6.62341e-07,787,False,ok
glass,6x9x2,108,586,0.00020833333333333335,3,0.3317,0.0066,1.592,121240,25.2583,6.62341e-07,315,False,ok
shipped 3 panels + 3 balls,shipped,327,1758,0.0020833333333333333,3,0.3942,0.0274,0.1892,121240,252.583,6.62341e-07,3146,False,ok
shipped axe + oak panel,shipped,217,1240,0.0020833333333333333,3,1.4068,0.0213,0.6753,72984.1,152.05,1.61694e-06,1289,False,ok
shipped 4 free-flight objects,shipped,108,504,0.0020833333333333333,3,0.3495,0.0047,0.1678,101835,212.156,5.16023e-07,4038,False,ok
