material,damping_kg_s,dt_s,steps,sample_every,exit_code,elapsed_s,recorded_head,dirty_source,started_utc,command,log,trajectory,summary,executable_sha256,balance-P,balance-L,balance-E,normal-loss,impact-loss,support-impulse-y,final-COM-vy,contact-energy,compliance-loss,solver_wall_s,final_internal_kinetic_j,final_body_elastic_j,trajectory_sha256,tested_code_commit
iron,0,1.25E-05,400,8,0,2.8907822,6db149f58b0984421694e8419d3f1bf6f25060a1,True,2026-09-05T03:50:54.7052686Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode compliant --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 0 --max-compression 0.005 --dt 1.25E-05 --steps 400 --trajectory C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c0-dt1.25E-05-trajectory.csv --sample-every 8,C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c0-dt1.25E-05.txt,C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c0-dt1.25E-05-trajectory.csv,balance-P=2.09215614591e-08 balance-L=1.29781860123e-11 balance-E=4.14388523495e-10 normal-loss=0 impact-loss=0 support-impulse-y=1030.0744737 final-COM-vy=0.999986232605 contact-energy=0 compliance-loss=0,65190052a50b53dd7f57f4c56afaf26766b93a199c468018d20c8c694581bc60,2.09215614591e-08,1.29781860123e-11,4.14388523495e-10,0,0,1030.0744737,0.999986232605,0,0,2.554716,0.00436974036523,0.00272098111388,f4a1ee5cb2a4c4e9bbf79567882a2bff4cc51eff7d57260bd383644816e4e877,e5b883e6d5d47dc85a5e1ea42c671d94a83cee99
iron,0,6.25E-06,800,16,0,4.9473475,6db149f58b0984421694e8419d3f1bf6f25060a1,True,2026-09-05T03:50:57.5967190Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode compliant --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 0 --max-compression 0.005 --dt 6.25E-06 --steps 800 --trajectory C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c0-dt6.25E-06-trajectory.csv --sample-every 16,C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c0-dt6.25E-06.txt,C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c0-dt6.25E-06-trajectory.csv,balance-P=1.573994279e-08 balance-L=9.71345780923e-12 balance-E=-5.17275111633e-12 normal-loss=0 impact-loss=0 support-impulse-y=1030.06149939 final-COM-vy=0.99996104178 contact-energy=0 compliance-loss=0,65190052a50b53dd7f57f4c56afaf26766b93a199c468018d20c8c694581bc60,1.573994279e-08,9.71345780923e-12,-5.17275111633e-12,0,0,1030.06149939,0.99996104178,0,0,4.5712293,0.0049382302609,0.0151264510091,a2cec3d8d39feb5d379bd3bf2d5c1d34da4bfd050f49be95575464a4670b25c5,e5b883e6d5d47dc85a5e1ea42c671d94a83cee99
iron,0,3.125E-06,1600,32,0,9.480253,6db149f58b0984421694e8419d3f1bf6f25060a1,True,2026-09-05T03:51:02.5447720Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode compliant --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 0 --max-compression 0.005 --dt 3.125E-06 --steps 1600 --trajectory C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c0-dt3.125E-06-trajectory.csv --sample-every 32,C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c0-dt3.125E-06.txt,C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c0-dt3.125E-06-trajectory.csv,balance-P=7.19640750705e-10 balance-L=4.49015114149e-13 balance-E=-1.53477230924e-12 normal-loss=0 impact-loss=0 support-impulse-y=1030.0588813 final-COM-vy=0.999955958544 contact-energy=0 compliance-loss=0,65190052a50b53dd7f57f4c56afaf26766b93a199c468018d20c8c694581bc60,7.19640750705e-10,4.49015114149e-13,-1.53477230924e-12,0,0,1030.0588813,0.999955958544,0,0,9.0119349,0.00975181118935,0.0129308350591,5737735c2cf24a19bb95cfcc82fc803f16e02861076137fab52cd4130a54e59c,e5b883e6d5d47dc85a5e1ea42c671d94a83cee99
iron,0,1.5625E-06,3200,64,0,17.7024909,6db149f58b0984421694e8419d3f1bf6f25060a1,True,2026-09-05T03:55:32.0364557Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode compliant --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 0 --max-compression 0.005 --dt 1.5625E-06 --steps 3200 --trajectory C:\Users\henry\dev\banjo-integration\build\trajectory-fine\iron-c0-dt1.5625E-06-trajectory.csv --sample-every 64,C:\Users\henry\dev\banjo-integration\build\trajectory-fine\iron-c0-dt1.5625E-06.txt,C:\Users\henry\dev\banjo-integration\build\trajectory-fine\iron-c0-dt1.5625E-06-trajectory.csv,balance-P=1.61458129008e-09 balance-L=1.03247346348e-12 balance-E=-3.97903932026e-13 normal-loss=0 impact-loss=0 support-impulse-y=1030.05861084 final-COM-vy=0.999955433413 contact-energy=0 compliance-loss=0,65190052a50b53dd7f57f4c56afaf26766b93a199c468018d20c8c694581bc60,1.61458129008e-09,1.03247346348e-12,-3.97903932026e-13,0,0,1030.05861084,0.999955433413,0,0,17.1170287,0.0119354945709,0.0110176036511,1ac2f1fe0d69b5c5e61e829525bdb68034bd4eea0d8b6cf96dbfc48cdeff904b,e5b883e6d5d47dc85a5e1ea42c671d94a83cee99
iron,0,7.8125E-07,6400,128,0,32.3495999,6db149f58b0984421694e8419d3f1bf6f25060a1,True,2026-09-05T03:55:49.7403189Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode compliant --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 0 --max-compression 0.005 --dt 7.8125E-07 --steps 6400 --trajectory C:\Users\henry\dev\banjo-integration\build\trajectory-fine\iron-c0-dt7.8125E-07-trajectory.csv --sample-every 128,C:\Users\henry\dev\banjo-integration\build\trajectory-fine\iron-c0-dt7.8125E-07.txt,C:\Users\henry\dev\banjo-integration\build\trajectory-fine\iron-c0-dt7.8125E-07-trajectory.csv,balance-P=1.15073945358e-09 balance-L=6.79820300906e-13 balance-E=-7.23105131328e-10 normal-loss=0 impact-loss=0 support-impulse-y=1030.05858308 final-COM-vy=0.99995537952 contact-energy=0 compliance-loss=0,65190052a50b53dd7f57f4c56afaf26766b93a199c468018d20c8c694581bc60,1.15073945358e-09,6.79820300906e-13,-7.23105131328e-10,0,0,1030.05858308,0.99995537952,0,0,31.5193963,0.0128929208299,0.010087932704,2debc70d25ade83d39cdd0ffb42334f4f99631f766130c997d1dc181296a1c4f,e5b883e6d5d47dc85a5e1ea42c671d94a83cee99
iron,10000,1.25E-05,400,8,0,2.9329791,6db149f58b0984421694e8419d3f1bf6f25060a1,True,2026-09-05T03:51:12.0258599Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode compliant --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005 --dt 1.25E-05 --steps 400 --trajectory C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c10000-dt1.25E-05-trajectory.csv --sample-every 8,C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c10000-dt1.25E-05.txt,C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c10000-dt1.25E-05-trajectory.csv,balance-P=2.53834287599e-08 balance-L=1.21889731486e-11 balance-E=1.16000222761e-08 normal-loss=0 impact-loss=0 support-impulse-y=955.74790039 final-COM-vy=0.855674217177 contact-energy=0 compliance-loss=68.8236358122,65190052a50b53dd7f57f4c56afaf26766b93a199c468018d20c8c694581bc60,2.53834287599e-08,1.21889731486e-11,1.16000222761e-08,0,0,955.74790039,0.855674217177,0,68.8236358122,2.5955437999999997,0.0578009789335,0.0880951710679,09b8fb611d98ef68fa5be14195b00ec94898fe4bc03b771f632a35c64ce483da,e5b883e6d5d47dc85a5e1ea42c671d94a83cee99
iron,10000,6.25E-06,800,16,0,4.8897658,6db149f58b0984421694e8419d3f1bf6f25060a1,True,2026-09-05T03:51:14.9597569Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode compliant --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005 --dt 6.25E-06 --steps 800 --trajectory C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c10000-dt6.25E-06-trajectory.csv --sample-every 16,C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c10000-dt6.25E-06.txt,C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c10000-dt6.25E-06-trajectory.csv,balance-P=4.91457967963e-08 balance-L=2.966355825e-11 balance-E=3.63236551948e-09 normal-loss=0 impact-loss=0 support-impulse-y=955.727461305 final-COM-vy=0.85563453273 contact-energy=0 compliance-loss=68.8331269753,65190052a50b53dd7f57f4c56afaf26766b93a199c468018d20c8c694581bc60,4.91457967963e-08,2.966355825e-11,3.63236551948e-09,0,0,955.727461305,0.85563453273,0,68.8331269753,4.5218876,0.111775857964,0.0421179339513,1e491e29cff80cf013ab3fe156b83a820e806ca60a155abb412a3984f7c81f62,e5b883e6d5d47dc85a5e1ea42c671d94a83cee99
iron,10000,3.125E-06,1600,32,0,9.3308284,6db149f58b0984421694e8419d3f1bf6f25060a1,True,2026-09-05T03:51:19.8503967Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode compliant --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005 --dt 3.125E-06 --steps 1600 --trajectory C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c10000-dt3.125E-06-trajectory.csv --sample-every 32,C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c10000-dt3.125E-06.txt,C:\Users\henry\dev\banjo-integration\build\trajectory-matrix\iron-c10000-dt3.125E-06-trajectory.csv,balance-P=2.95801854207e-09 balance-L=1.84643515537e-12 balance-E=8.21387402539e-11 normal-loss=0 impact-loss=0 support-impulse-y=955.715983233 final-COM-vy=0.855612247067 contact-energy=0 compliance-loss=68.8346600553,65190052a50b53dd7f57f4c56afaf26766b93a199c468018d20c8c694581bc60,2.95801854207e-09,1.84643515537e-12,8.21387402539e-11,0,0,955.715983233,0.855612247067,0,68.8346600553,8.882766,0.0909615894022,0.0712199858669,9457137fc45c80c4463ace7f1626862979a6388e70c3dddcd494ea1a32b29beb,e5b883e6d5d47dc85a5e1ea42c671d94a83cee99
iron,10000,1.5625E-06,3200,64,0,16.3396803,6db149f58b0984421694e8419d3f1bf6f25060a1,True,2026-09-05T03:56:22.0908399Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode compliant --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005 --dt 1.5625E-06 --steps 3200 --trajectory C:\Users\henry\dev\banjo-integration\build\trajectory-fine\iron-c10000-dt1.5625E-06-trajectory.csv --sample-every 64,C:\Users\henry\dev\banjo-integration\build\trajectory-fine\iron-c10000-dt1.5625E-06.txt,C:\Users\henry\dev\banjo-integration\build\trajectory-fine\iron-c10000-dt1.5625E-06-trajectory.csv,balance-P=2.63833095237e-09 balance-L=1.60623720864e-12 balance-E=9.51132506088e-11 normal-loss=0 impact-loss=0 support-impulse-y=955.712232011 final-COM-vy=0.855604963718 contact-energy=0 compliance-loss=68.8351361373,65190052a50b53dd7f57f4c56afaf26766b93a199c468018d20c8c694581bc60,2.63833095237e-09,1.60623720864e-12,9.51132506088e-11,0,0,955.712232011,0.855604963718,0,68.8351361373,15.7886038,0.108882111623,0.0560329591215,26cb771757ec1328f6aa068f7ca7302117223d669f9bf4340df14b5fb4ddfb9b,e5b883e6d5d47dc85a5e1ea42c671d94a83cee99
iron,10000,7.8125E-07,6400,128,0,34.3614537,6db149f58b0984421694e8419d3f1bf6f25060a1,True,2026-09-05T03:56:38.4314004Z,C:\Users\henry\dev\banjo-integration\build\win-integration\Release\banjo_solver_probe.exe --material iron --case floor --step-mode compliant --voxel-size 0.04 --gap 0.001 --speed 1 --gravity 0 --normal-stiffness 100000000 --normal-damping 10000 --max-compression 0.005 --dt 7.8125E-07 --steps 6400 --trajectory C:\Users\henry\dev\banjo-integration\build\trajectory-fine\iron-c10000-dt7.8125E-07-trajectory.csv --sample-every 128,C:\Users\henry\dev\banjo-integration\build\trajectory-fine\iron-c10000-dt7.8125E-07.txt,C:\Users\henry\dev\banjo-integration\build\trajectory-fine\iron-c10000-dt7.8125E-07-trajectory.csv,balance-P=1.34457520758e-09 balance-L=6.93949467987e-13 balance-E=5.81223957852e-12 normal-loss=0 impact-loss=0 support-impulse-y=955.712469444 final-COM-vy=0.855605424717 contact-energy=0 compliance-loss=68.8353475294,65190052a50b53dd7f57f4c56afaf26766b93a199c468018d20c8c694581bc60,1.34457520758e-09,6.93949467987e-13,5.81223957852e-12,0,0,955.712469444,0.855605424717,0,68.8353475294,33.490786299999996,0.106214766839,0.058285762514,56550bdd8fc13e58e637b41052686b5f8ad6354480d4446a06b188aa3daf44f2,e5b883e6d5d47dc85a5e1ea42c671d94a83cee99
