material,damping_kg_s,comparison,first_experiment,second_experiment,time_s,position_rms_m,velocity_rms_m_s,position_max_m,velocity_max_m_s,com_position_difference_m,com_velocity_difference_m_s,internal_kinetic_difference_j,body_elastic_difference_j
glass,10000,fixed_comparison,adaptive-1000,fixed,0.004,3.5940012427506555e-08,0.008602186680754484,1.4743060398491592e-07,0.050035249989321205,3.4447916741390947e-10,1.1435274950377771e-10,0.0006224071685522192,0.0005561623179999864
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0041,3.836595770092308e-08,0.00931581246458737,1.4021156729986478e-07,0.03786297162972575,3.4446773558620676e-10,1.1436618320300744e-10,0.0005970451366036356,0.0006632899849999957
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0042,4.2356740394540194e-08,0.008965660211375,2.09155244595971e-07,0.036205768865955834,3.4445630191534863e-10,1.1433898273890714e-10,0.000770299853119355,0.0008365447040000196
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0043,4.3297120584060987e-08,0.009393990485268431,1.377869452978686e-07,0.03343908071184509,3.4444487203921247e-10,1.1431910974676855e-10,0.0014570563369065564,0.0013908114860000098
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0044,4.4169310701211e-08,0.010503161243836047,1.938588145289355e-07,0.04975043446488452,3.4443343901887817e-10,1.1436396275695844e-10,0.00041374398905355547,0.0004799888409999925
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0045,4.511529736018134e-08,0.010968306316275775,2.2872513086302781e-07,0.034069421798953226,3.444220011196386e-10,1.1436773751524175e-10,0.0019176551923246188,0.0019839000440000087
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0046,5.476722228313408e-08,0.009917192308630743,2.878713077913986e-07,0.04989310693639979,3.4441056235303454e-10,1.1441902981834089e-10,0.00018467292085161402,0.000250917774999998
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0047,5.4335768965825066e-08,0.011419357784175188,1.7269618897680694e-07,0.06746889899820663,3.44399119032789e-10,1.1447609528180064e-10,0.0015544627686699952,0.0014882179140000007
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0048,5.739909295342891e-08,0.011891274553517888,1.44839121127216e-07,0.04956380008028286,3.443876711588858e-10,1.1448386684297221e-10,0.002957682869989098,0.0028914380170000087
glass,10000,fixed_comparison,adaptive-1000,fixed,0.0049,5.820745182752243e-08,0.01276524190879281,3.384643468551385e-07,0.05270297321229828,3.443762226344675e-10,1.1443590520831342e-10,0.003750346996566928,0.003684102144000001
glass,10000,fixed_comparison,adaptive-1000,fixed,0.005,6.42633285833751e-08,0.01247316485420892,2.38993556861411e-07,0.05193100307195494,3.4436477367636617e-10,1.1444900584000263e-10,9.892236074066085e-05,3.2677504999995e-05
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0011,8.969746093738942e-10,0.0001991205497176036,6.585867785171944e-09,0.0027767280572565042,1.1214024067049692e-11,5.989748910195658e-07,1.041310840052545e-05,0.00014666219000014635
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0012,3.664477821628295e-09,0.0009134342801740138,3.124653174991722e-08,0.01220357635934211,2.4744686985222226e-11,5.169948100736121e-07,0.00010376385599986104,2.747854000029193e-05
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0013,5.370387134112139e-09,0.0013361441561440721,5.753041021749028e-08,0.012220390502229714,6.64831601229887e-11,5.32598095126513e-06,0.0002866910994081956,0.001378307780000032
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0014,1.0098461176214582e-08,0.002293845389749776,4.529369222890695e-08,0.04361555688125353,9.984605199923349e-11,7.483210545514152e-06,7.550296617508945e-05,0.001277167370000054
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0015,1.3960393618860491e-08,0.003534672748334601,8.472666182540972e-08,0.06704978090004868,5.346533571773415e-10,3.834882466136058e-06,0.0006039198119964923,0.0033953058699998095
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0016,1.862703821349191e-08,0.0043902208739557335,1.0208098149133494e-07,0.04047987451551576,8.964075115872062e-10,3.075409163000309e-06,0.0003066215537872313,0.0057206633899999915
glass,10000,quality_refinement,adaptive-1000,adaptive-100,0.0017,2.4948504779910005e-08,0.005416209914903082,1.7289595096955035e-07,0.03399194705521921,1.1605837480291325e-09,5.0168375452797065e-06,4.142118088473756e-05,0.002223774454999994
